CodigoFabricante;Nome;Descricao;Categoria;Subcategoria;Marca;Voltagem;Amperagem;Aplicacao;ImagemLocal;Segmento
FAR-HEL-H3-LE-0011;Farol H3 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;HELLA;12V;;Repos H3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H3-LE-0011.png;Leve
FAR-HEL-H3-PAR-0012;Farol H3 par;Conjunto farol halogena 12V lado par;Farois;halogena;HELLA;12V;;Repos H3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H3-PAR-0012.png;Leve
FAR-HEL-HB3-LD-0013;Farol HB3 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;HELLA;12V;;Repos HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-HB3-LD-0013.png;Leve
FAR-HEL-HB3-LE-0014;Farol HB3 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;HELLA;12V;;Repos HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-HB3-LE-0014.png;Leve
FAR-HEL-HB3-PAR-0015;Farol HB3 par;Conjunto farol halogena 12V lado par;Farois;halogena;HELLA;12V;;Repos HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-HB3-PAR-0015.png;Leve
FAR-HEL-HB4-LD-0016;Farol HB4 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;HELLA;12V;;Repos HB4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-HB4-LD-0016.png;Leve
FAR-HEL-HB4-LE-0017;Farol HB4 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;HELLA;12V;;Repos HB4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-HB4-LE-0017.png;Leve
FAR-HEL-HB4-PAR-0018;Farol HB4 par;Conjunto farol halogena 12V lado par;Farois;halogena;HELLA;12V;;Repos HB4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-HB4-PAR-0018.png;Leve
FAR-HEL-H11-LD-0019;Farol H11 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;HELLA;12V;;Repos H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H11-LD-0019.png;Leve
FAR-HEL-H11-LE-0020;Farol H11 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;HELLA;12V;;Repos H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H11-LE-0020.png;Leve
FAR-HEL-H11-PAR-0021;Farol H11 par;Conjunto farol halogena 12V lado par;Farois;halogena;HELLA;12V;;Repos H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H11-PAR-0021.png;Leve
FAR-HEL-LED-H4-LD-0022;Farol LED-H4 direito;Conjunto farol LED 12V lado direito;Farois;LED;HELLA;12V;;Repos LED-H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-H4-LD-0022.png;Leve
FAR-HEL-LED-H4-LE-0023;Farol LED-H4 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;HELLA;12V;;Repos LED-H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-H4-LE-0023.png;Leve
FAR-HEL-LED-H4-PAR-0024;Farol LED-H4 par;Conjunto farol LED 12V lado par;Farois;LED;HELLA;12V;;Repos LED-H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-H4-PAR-0024.png;Leve
FAR-HEL-LED-H7-LD-0025;Farol LED-H7 direito;Conjunto farol LED 12V lado direito;Farois;LED;HELLA;12V;;Repos LED-H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-H7-LD-0025.png;Leve
FAR-HEL-LED-H7-LE-0026;Farol LED-H7 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;HELLA;12V;;Repos LED-H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-H7-LE-0026.png;Leve
FAR-HEL-LED-H7-PAR-0027;Farol LED-H7 par;Conjunto farol LED 12V lado par;Farois;LED;HELLA;12V;;Repos LED-H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-H7-PAR-0027.png;Leve
FAR-HEL-LED-H11-LD-0028;Farol LED-H11 direito;Conjunto farol LED 12V lado direito;Farois;LED;HELLA;12V;;Repos LED-H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-H11-LD-0028.png;Leve
FAR-HEL-LED-H11-LE-0029;Farol LED-H11 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;HELLA;12V;;Repos LED-H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-H11-LE-0029.png;Leve
FAR-HEL-LED-H11-PAR-0030;Farol LED-H11 par;Conjunto farol LED 12V lado par;Farois;LED;HELLA;12V;;Repos LED-H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-H11-PAR-0030.png;Leve
FAR-HEL-LED-HB3-LD-0031;Farol LED-HB3 direito;Conjunto farol LED 12V lado direito;Farois;LED;HELLA;12V;;Repos LED-HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-HB3-LD-0031.png;Leve
FAR-HEL-LED-HB3-LE-0032;Farol LED-HB3 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;HELLA;12V;;Repos LED-HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-HB3-LE-0032.png;Leve
FAR-HEL-LED-HB3-PAR-0033;Farol LED-HB3 par;Conjunto farol LED 12V lado par;Farois;LED;HELLA;12V;;Repos LED-HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-HB3-PAR-0033.png;Leve
FAR-HEL-XENON-D2S-LD-0034;Farol XENON-D2S direito;Conjunto farol xenon 12V lado direito;Farois;xenon;HELLA;12V;;Repos XENON-D2S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-XENON-D2S-LD-0034.png;Leve
FAR-HEL-XENON-D2S-LE-0035;Farol XENON-D2S esquerdo;Conjunto farol xenon 12V lado esquerdo;Farois;xenon;HELLA;12V;;Repos XENON-D2S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-XENON-D2S-LE-0035.png;Leve
FAR-HEL-XENON-D2S-PAR-0036;Farol XENON-D2S par;Conjunto farol xenon 12V lado par;Farois;xenon;HELLA;12V;;Repos XENON-D2S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-XENON-D2S-PAR-0036.png;Leve
FAR-HEL-XENON-D3S-LD-0037;Farol XENON-D3S direito;Conjunto farol xenon 12V lado direito;Farois;xenon;HELLA;12V;;Repos XENON-D3S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-XENON-D3S-LD-0037.png;Leve
FAR-HEL-XENON-D3S-LE-0038;Farol XENON-D3S esquerdo;Conjunto farol xenon 12V lado esquerdo;Farois;xenon;HELLA;12V;;Repos XENON-D3S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-XENON-D3S-LE-0038.png;Leve
FAR-HEL-XENON-D3S-PAR-0039;Farol XENON-D3S par;Conjunto farol xenon 12V lado par;Farois;xenon;HELLA;12V;;Repos XENON-D3S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-XENON-D3S-PAR-0039.png;Leve
FAR-HEL-H4-24V-LD-0040;Farol H4-24V direito;Conjunto farol halogena 24V lado direito;Farois;halogena;HELLA;24V;;Repos H4-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H4-24V-LD-0040.png;Pesado
FAR-HEL-H4-24V-LE-0041;Farol H4-24V esquerdo;Conjunto farol halogena 24V lado esquerdo;Farois;halogena;HELLA;24V;;Repos H4-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H4-24V-LE-0041.png;Pesado
FAR-HEL-H4-24V-PAR-0042;Farol H4-24V par;Conjunto farol halogena 24V lado par;Farois;halogena;HELLA;24V;;Repos H4-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H4-24V-PAR-0042.png;Pesado
FAR-HEL-H7-24V-LD-0043;Farol H7-24V direito;Conjunto farol halogena 24V lado direito;Farois;halogena;HELLA;24V;;Repos H7-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H7-24V-LD-0043.png;Pesado
FAR-HEL-H7-24V-LE-0044;Farol H7-24V esquerdo;Conjunto farol halogena 24V lado esquerdo;Farois;halogena;HELLA;24V;;Repos H7-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H7-24V-LE-0044.png;Pesado
FAR-HEL-H7-24V-PAR-0045;Farol H7-24V par;Conjunto farol halogena 24V lado par;Farois;halogena;HELLA;24V;;Repos H7-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H7-24V-PAR-0045.png;Pesado
FAR-HEL-LED-24V-LD-0046;Farol LED-24V direito;Conjunto farol LED 24V lado direito;Farois;LED;HELLA;24V;;Repos LED-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-24V-LD-0046.png;Pesado
FAR-HEL-LED-24V-LE-0047;Farol LED-24V esquerdo;Conjunto farol LED 24V lado esquerdo;Farois;LED;HELLA;24V;;Repos LED-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-24V-LE-0047.png;Pesado
FAR-HEL-LED-24V-PAR-0048;Farol LED-24V par;Conjunto farol LED 24V lado par;Farois;LED;HELLA;24V;;Repos LED-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-LED-24V-PAR-0048.png;Pesado
FAR-VAL-H4-LD-0049;Farol H4 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;VALEO;12V;;Repos H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H4-LD-0049.png;Leve
FAR-VAL-H4-LE-0050;Farol H4 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;VALEO;12V;;Repos H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H4-LE-0050.png;Leve
FAR-VAL-H4-PAR-0051;Farol H4 par;Conjunto farol halogena 12V lado par;Farois;halogena;VALEO;12V;;Repos H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H4-PAR-0051.png;Leve
FAR-VAL-H7-LD-0052;Farol H7 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;VALEO;12V;;Repos H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H7-LD-0052.png;Leve
FAR-VAL-H7-LE-0053;Farol H7 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;VALEO;12V;;Repos H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H7-LE-0053.png;Leve
FAR-VAL-H7-PAR-0054;Farol H7 par;Conjunto farol halogena 12V lado par;Farois;halogena;VALEO;12V;;Repos H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H7-PAR-0054.png;Leve
FAR-VAL-H1-LD-0055;Farol H1 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;VALEO;12V;;Repos H1 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H1-LD-0055.png;Leve
FAR-VAL-H1-LE-0056;Farol H1 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;VALEO;12V;;Repos H1 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H1-LE-0056.png;Leve
FAR-VAL-H1-PAR-0057;Farol H1 par;Conjunto farol halogena 12V lado par;Farois;halogena;VALEO;12V;;Repos H1 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H1-PAR-0057.png;Leve
FAR-VAL-H3-LD-0058;Farol H3 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;VALEO;12V;;Repos H3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H3-LD-0058.png;Leve
FAR-VAL-H3-LE-0059;Farol H3 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;VALEO;12V;;Repos H3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H3-LE-0059.png;Leve
FAR-VAL-H3-PAR-0060;Farol H3 par;Conjunto farol halogena 12V lado par;Farois;halogena;VALEO;12V;;Repos H3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H3-PAR-0060.png;Leve
FAR-VAL-HB3-LD-0061;Farol HB3 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;VALEO;12V;;Repos HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-HB3-LD-0061.png;Leve
FAR-VAL-HB3-LE-0062;Farol HB3 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;VALEO;12V;;Repos HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-HB3-LE-0062.png;Leve
FAR-VAL-HB3-PAR-0063;Farol HB3 par;Conjunto farol halogena 12V lado par;Farois;halogena;VALEO;12V;;Repos HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-HB3-PAR-0063.png;Leve
FAR-VAL-HB4-LD-0064;Farol HB4 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;VALEO;12V;;Repos HB4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-HB4-LD-0064.png;Leve
FAR-VAL-HB4-LE-0065;Farol HB4 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;VALEO;12V;;Repos HB4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-HB4-LE-0065.png;Leve
FAR-VAL-HB4-PAR-0066;Farol HB4 par;Conjunto farol halogena 12V lado par;Farois;halogena;VALEO;12V;;Repos HB4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-HB4-PAR-0066.png;Leve
FAR-VAL-H11-LD-0067;Farol H11 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;VALEO;12V;;Repos H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H11-LD-0067.png;Leve
FAR-VAL-H11-LE-0068;Farol H11 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;VALEO;12V;;Repos H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H11-LE-0068.png;Leve
FAR-VAL-H11-PAR-0069;Farol H11 par;Conjunto farol halogena 12V lado par;Farois;halogena;VALEO;12V;;Repos H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H11-PAR-0069.png;Leve
FAR-VAL-LED-H4-LD-0070;Farol LED-H4 direito;Conjunto farol LED 12V lado direito;Farois;LED;VALEO;12V;;Repos LED-H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-H4-LD-0070.png;Leve
FAR-VAL-LED-H4-LE-0071;Farol LED-H4 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;VALEO;12V;;Repos LED-H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-H4-LE-0071.png;Leve
FAR-VAL-LED-H4-PAR-0072;Farol LED-H4 par;Conjunto farol LED 12V lado par;Farois;LED;VALEO;12V;;Repos LED-H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-H4-PAR-0072.png;Leve
FAR-VAL-LED-H7-LD-0073;Farol LED-H7 direito;Conjunto farol LED 12V lado direito;Farois;LED;VALEO;12V;;Repos LED-H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-H7-LD-0073.png;Leve
FAR-VAL-LED-H7-LE-0074;Farol LED-H7 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;VALEO;12V;;Repos LED-H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-H7-LE-0074.png;Leve
FAR-VAL-LED-H7-PAR-0075;Farol LED-H7 par;Conjunto farol LED 12V lado par;Farois;LED;VALEO;12V;;Repos LED-H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-H7-PAR-0075.png;Leve
FAR-VAL-LED-H11-LD-0076;Farol LED-H11 direito;Conjunto farol LED 12V lado direito;Farois;LED;VALEO;12V;;Repos LED-H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-H11-LD-0076.png;Leve
FAR-VAL-LED-H11-LE-0077;Farol LED-H11 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;VALEO;12V;;Repos LED-H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-H11-LE-0077.png;Leve
FAR-VAL-LED-H11-PAR-0078;Farol LED-H11 par;Conjunto farol LED 12V lado par;Farois;LED;VALEO;12V;;Repos LED-H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-H11-PAR-0078.png;Leve
FAR-VAL-LED-HB3-LD-0079;Farol LED-HB3 direito;Conjunto farol LED 12V lado direito;Farois;LED;VALEO;12V;;Repos LED-HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-HB3-LD-0079.png;Leve
FAR-VAL-LED-HB3-LE-0080;Farol LED-HB3 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;VALEO;12V;;Repos LED-HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-HB3-LE-0080.png;Leve
FAR-VAL-LED-HB3-PAR-0081;Farol LED-HB3 par;Conjunto farol LED 12V lado par;Farois;LED;VALEO;12V;;Repos LED-HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-LED-HB3-PAR-0081.png;Leve
FAR-VAL-XENON-D2S-LD-0082;Farol XENON-D2S direito;Conjunto farol xenon 12V lado direito;Farois;xenon;VALEO;12V;;Repos XENON-D2S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-XENON-D2S-LD-0082.png;Leve
FAR-VAL-XENON-D2S-LE-0083;Farol XENON-D2S esquerdo;Conjunto farol xenon 12V lado esquerdo;Farois;xenon;VALEO;12V;;Repos XENON-D2S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-XENON-D2S-LE-0083.png;Leve
FAR-VAL-XENON-D2S-PAR-0084;Farol XENON-D2S par;Conjunto farol xenon 12V lado par;Farois;xenon;VALEO;12V;;Repos XENON-D2S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-XENON-D2S-PAR-0084.png;Leve
FAR-VAL-XENON-D3S-LD-0085;Farol XENON-D3S direito;Conjunto farol xenon 12V lado direito;Farois;xenon;VALEO;12V;;Repos XENON-D3S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-XENON-D3S-LD-0085.png;Leve
FAR-VAL-XENON-D3S-LE-0086;Farol XENON-D3S esquerdo;Conjunto farol xenon 12V lado esquerdo;Farois;xenon;VALEO;12V;;Repos XENON-D3S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-XENON-D3S-LE-0086.png;Leve
FAR-VAL-XENON-D3S-PAR-0087;Farol XENON-D3S par;Conjunto farol xenon 12V lado par;Farois;xenon;VALEO;12V;;Repos XENON-D3S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-XENON-D3S-PAR-0087.png;Leve
FAR-VAL-H4-24V-LD-0088;Farol H4-24V direito;Conjunto farol halogena 24V lado direito;Farois;halogena;VALEO;24V;;Repos H4-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H4-24V-LD-0088.png;Pesado
FAR-VAL-H4-24V-LE-0089;Farol H4-24V esquerdo;Conjunto farol halogena 24V lado esquerdo;Farois;halogena;VALEO;24V;;Repos H4-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\VALEO_FAR-VAL-H4-24V-LE-0089.png;Pesado
