CodigoFabricante;Nome;Descricao;Categoria;Subcategoria;Marca;Voltagem;Amperagem;Aplicacao;ImagemLocal
0 986 046 340;Alternador Bosch 12V;Alternador OE equivalente;Alternadores;OE;BOSCH;12V;120A;VW Gol Fox Saveiro;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\BOSCH_0_986_046_340.png
0 986 014 280;Motor de Partida Bosch;Partida OE equivalente;Partidas;OE;BOSCH;12V;;Fiat Palio Uno Argo;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\BOSCH_0_986_014_280.png
0 986 AG0 506;Sensor ABS Bosch;Sensor de velocidade roda;Sensores;ABS;BOSCH;5V;;Gol Voyage Saveiro;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\BOSCH_0_986_AG0_506.png
0 281 002 209;Sensor MAP Bosch;Sensor pressao coletor;Sensores;MAP;BOSCH;5V;;Flex line VW Fiat;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\BOSCH_0_281_002_209.png
0 261 230 266;Sensor de Rotacao;Sensor CKP;Sensores;CKP;BOSCH;5V;;Motor Fire Evo;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\BOSCH_0_261_230_266.png
0 280 158 107;Bobina de Ignicao;Bobina stick;Ignicao;Bobinas;BOSCH;12V;;Flex 1.0 1.4;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\BOSCH_0_280_158_107.png
1 987 302 053;Rele Auxiliar 12V 40A;Rele 5 pinos;Reles;Auxiliar;BOSCH;12V;40A;Uso geral 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\BOSCH_1_987_302_053.png
1 987 302 054;Rele Auxiliar 24V 40A;Rele 5 pinos 24V;Reles;Auxiliar;BOSCH;24V;40A;Linha pesada;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\BOSCH_1_987_302_054.png
DNI 0410;Rele Auxiliar 5 Terminais;Rele 40A uso geral;Reles;Auxiliar;DNI;12V;40A;Automotivo geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_0410.png
DNI 0411;Rele Auxiliar 4 Terminais;Rele 30A;Reles;Auxiliar;DNI;12V;30A;Automotivo geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_0411.png
DNI 7524;Sensor Temperatura Agua;Sensor refrigerante;Sensores;Temperatura;DNI;5V;;Motor gasolina/flex;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_7524.png
DNI 8110;Interruptor Freio;Pedal de freio;Interruptores;Freio;DNI;12V;;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_8110.png
DNI 0711;Chave de Luz;Chave combinada farol/pisca;Chaves;Coluna;DNI;12V;;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_0711.png
DNI 2042;Luz Advertencia Portatil;Lanterna advertencia 12V;Iluminacao;Auxiliar;DNI;12V;;Uso geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_2042.png
DNI 0888;Botao Vidro Eletrico;Interruptor vidro;Interruptores;Vidro;DNI;12V;;Portas dianteiras;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_0888.png
DNI 1501;Sensor Oxigenio Pre;Sonda lambda pre-catalisador;Sensores;O2;DNI;1V;;Flex line;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_1501.png
DNI 1502;Sensor Oxigenio Pos;Sonda lambda pos-catalisador;Sensores;O2;DNI;1V;;Flex line;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_1502.png
DNI 2201;Modulo Vidro Eletrico;Modulo 2 portas;Modulos;Conforto;DNI;12V;;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_2201.png
DNI 3010;Farol Auxiliar LED;Farol milha LED;Iluminacao;LED;DNI;12V;;Pickup SUV;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_3010.png
DNI 3011;Farol Trabalho LED 24V;Farol trabalho linha pesada;Iluminacao;LED;DNI;24V;;Caminhao onibus;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_3011.png
DNI 4100;Chicote Alternador;Chicote reparo alternador;Chicotes;Alternador;DNI;12V;;Reparos gerais;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_4100.png
DNI 4101;Chicote Partida;Chicote reparo motor partida;Chicotes;Partida;DNI;12/24V;;Reparos gerais;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_4101.png
DNI 5500;Fusivel Lamina 10A;Kit 10 un;Fusiveis;Lamina;DNI;12/24V;10A;Uso geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_5500.png
DNI 5501;Fusivel Lamina 15A;Kit 10 un;Fusiveis;Lamina;DNI;12/24V;15A;Uso geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_5501.png
DNI 5502;Fusivel Lamina 20A;Kit 10 un;Fusiveis;Lamina;DNI;12/24V;20A;Uso geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_5502.png
DNI 5503;Fusivel Lamina 30A;Kit 10 un;Fusiveis;Lamina;DNI;12/24V;30A;Uso geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_5503.png
DNI 5600;Fusivel MIDI 40A;Fusivel MIDI;Fusiveis;MIDI;DNI;12/24V;40A;Linha pesada;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_5600.png
DNI 5601;Fusivel MIDI 60A;Fusivel MIDI;Fusiveis;MIDI;DNI;12/24V;60A;Linha pesada;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_5601.png
DNI 7001;Sensor Pressao Oleo;Interruptor oleo;Sensores;Oleo;DNI;12V;;Motor geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_7001.png
DNI 7002;Sensor Nivel Combustivel;Boia eletrica;Sensores;Combustivel;DNI;12V;;Tanque metalico;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\DNI_DNI_7002.png
BKR6E;Vela Ignicao BKR6E;Vela cobre;Ignicao;Velas;NGK;;;Flex 1.0-1.6;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\NGK_BKR6E.png
BKR5E;Vela Ignicao BKR5E;Vela cobre;Ignicao;Velas;NGK;;;Flex antigo;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\NGK_BKR5E.png
ILZKR7B11;Vela Iridium ILZKR7B11;Vela iridium longa vida;Ignicao;Velas;NGK;;;Honda Toyota;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\NGK_ILZKR7B11.png
LZKR6B-10E;Vela Laser Platinum;Vela platinum;Ignicao;Velas;NGK;;;Hyundai Kia;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\NGK_LZKR6B-10E.png
DILKR7A11;Vela Iridium DILKR7A11;Vela iridium;Ignicao;Velas;NGK;;;Nissan Flex;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\NGK_DILKR7A11.png
U1579;Bobina NGK U1579;Bobina stick;Ignicao;Bobinas;NGK;12V;;Honda Fit City;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\NGK_U1579.png
U5021;Bobina NGK U5021;Bobina stick;Ignicao;Bobinas;NGK;12V;;Toyota Corolla;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\NGK_U5021.png
UET-REL-40;Rele Universal 40A;Rele 5 pinos;Reles;Universal;UETA;12V;40A;Uso geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\UETA_UET-REL-40.png
UET-SEN-TMP;Sensor Temperatura UETA;Sensor agua;Sensores;Temperatura;UETA;5V;;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\UETA_UET-SEN-TMP.png
UET-CHV-IGN;Chave Ignicao UETA;Cilindro + chave;Chaves;Ignicao;UETA;12V;;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\UETA_UET-CHV-IGN.png
UET-FAR-H4;Lampada H4 12V;Farol H4;Iluminacao;Halogena;UETA;12V;;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\UETA_UET-FAR-H4.png
UET-FAR-H7;Lampada H7 12V;Farol H7;Iluminacao;Halogena;UETA;12V;;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\UETA_UET-FAR-H7.png
PX-BAT-60;Bateria 12V 60Ah;Bateria estacionaria automotiva;Baterias;12V;PRIMOX;12V;60Ah;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-BAT-60.png
PX-BAT-75;Bateria 12V 75Ah;Bateria pickup;Baterias;12V;PRIMOX;12V;75Ah;Pickup SUV;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-BAT-75.png
PX-BAT-150;Bateria 12V 150Ah;Bateria auxiliar caminhao;Baterias;12V;PRIMOX;12V;150Ah;Caminhao (banco 24V);C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-BAT-150.png
PX-INV-600;Inversor 12V 600W;Inversor onda modificada;Acessorios;Inversor;PRIMOX;12V;;Utilitario;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-INV-600.png
PX-CAR-10A;Carregador Bateria 10A;Carregador inteligente;Acessorios;Carregador;PRIMOX;110/220V;10A;Oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-CAR-10A.png
PX-TST-ALT;Testador Alternador;Teste carga/voltagem;Ferramentas;Diagnostico;PRIMOX;;;Bancada;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-TST-ALT.png
PX-TST-BAT;Testador Bateria CCA;Analisador bateria;Ferramentas;Diagnostico;PRIMOX;;;Bancada;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-TST-BAT.png
PX-OSC-USB;Osciloscopio USB;2 canais diagnostico;Ferramentas;Diagnostico;PRIMOX;USB;;Oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-OSC-USB.png
PX-SCN-OBD;Scanner OBD2 Bluetooth;Leitor DTC generico;Ferramentas;Diagnostico;PRIMOX;12V;;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-SCN-OBD.png
PX-SCN-HD;Scanner Linha Pesada;Diagnostico caminhao;Ferramentas;Diagnostico;PRIMOX;24V;;Pesado;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-SCN-HD.png
PX-CAB-J1939;Cabo Diagnostico J1939;Cabo Deutsch 9 vias;Chicotes;Diagnostico;PRIMOX;24V;;Caminhao;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-CAB-J1939.png
PX-CAB-OBD;Cabo Extensao OBD2;Extensao 1.5m;Chicotes;Diagnostico;PRIMOX;12V;;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-CAB-OBD.png
PX-CON-6.3;Terminal Faston 6.3;Pacote 100 un;Terminais;Faston;PRIMOX;;;Eletrica geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-CON-6_3.png
PX-CON-DEU;Conector Deutsch 2 vias;Par macho/femea;Conectores;Deutsch;PRIMOX;;;Pesado;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-CON-DEU.png
PX-CON-WEA;Conector Weather Pack;Par 2 vias;Conectores;Weather;PRIMOX;;;Motor bay;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-CON-WEA.png
PX-FIO-1.5;Fio Automotivo 1.5mm;Rolo 100m;Fios;Cabo;PRIMOX;12/24V;;Instalacao;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-FIO-1_5.png
PX-FIO-2.5;Fio Automotivo 2.5mm;Rolo 100m;Fios;Cabo;PRIMOX;12/24V;;Instalacao;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-FIO-2_5.png
PX-FIO-4.0;Fio Automotivo 4.0mm;Rolo 50m;Fios;Cabo;PRIMOX;12/24V;;Alimentacao;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-FIO-4_0.png
PX-FIO-16;Cabo Bateria 16mm2;Rolo 25m;Fios;Bateria;PRIMOX;12/24V;;Partida;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-FIO-16.png
PX-GND-KIT;Kit Terra Motor;Trancas e terminais terra;Kits;Terra;PRIMOX;;;Reparos;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-GND-KIT.png
PX-LED-BAR;Barra LED 52cm 24V;Barra trabalho;Iluminacao;LED;PRIMOX;24V;;Caminhao;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-LED-BAR.png
PX-LED-PLA;Placa LED Freio;Sinalizacao traseira;Iluminacao;LED;PRIMOX;12/24V;;Utilitario;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-LED-PLA.png
PX-SIR-12;Sirene Re 12V;Alarme marcha-re;Sinalizacao;Sirene;PRIMOX;12V;;Pickup;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-SIR-12.png
PX-SIR-24;Sirene Re 24V;Alarme marcha-re;Sinalizacao;Sirene;PRIMOX;24V;;Caminhao;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-SIR-24.png
PX-CAM-RE;Camera Re Universal;Camera + monitor 7 pol;Acessorios;Camera;PRIMOX;12/24V;;Utilitario;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-CAM-RE.png
PX-GPS-TRK;Rastreador GPS Oficina;Demo/teste instalacao;Acessorios;GPS;PRIMOX;12/24V;;Frota;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-GPS-TRK.png
PX-MOD-CAN;Interface CAN USB;Analise barramento;Ferramentas;CAN;PRIMOX;USB;;Diagnostico;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-MOD-CAN.png
PX-SEN-HALL;Sensor Hall Generico;Sensor efeito Hall;Sensores;Hall;PRIMOX;5V;;Rotacao/posicao;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-SEN-HALL.png
PX-SEN-TPS;Sensor TPS Generico;Potenciometro borboleta;Sensores;TPS;PRIMOX;5V;;Motor aspirado;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-SEN-TPS.png
PX-SEN-IAT;Sensor IAT;Temperatura ar admissao;Sensores;IAT;PRIMOX;5V;;Admissao;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-SEN-IAT.png
PX-SEN-CKP;Sensor CKP Primox;Rotacao virabrequim;Sensores;CKP;PRIMOX;5V;;Flex;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-SEN-CKP.png
PX-SEN-CMP;Sensor CMP Primox;Fase comando;Sensores;CMP;PRIMOX;5V;;Flex;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-SEN-CMP.png
PX-ATU-ISC;Atuador Marcha Lenta;Motor de passo ISC;Atuadores;ISC;PRIMOX;12V;;TBI;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-ATU-ISC.png
PX-BOM-COM;Bomba Combustivel Eletrica;Modulo tanque 12V;Bombas;Combustivel;PRIMOX;12V;;Flex;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-BOM-COM.png
PX-BOM-AGU;Bomba Agua Eletrica Aux;Auxiliar refrigeracao;Bombas;Agua;PRIMOX;12V;;Performance/leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-BOM-AGU.png
PX-EGR-VLV;Valvula EGR Eletrica;Controle EGR;Atuadores;EGR;PRIMOX;12V;;Diesel leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-EGR-VLV.png
PX-TUR-ACT;Atuador Turbina VGT;Atuador eletronico;Atuadores;Turbo;PRIMOX;12/24V;;Diesel;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-TUR-ACT.png
PX-URE-SEN;Sensor Nivel Arla;Sensor tanque ARLA;Sensores;ARLA;PRIMOX;24V;;Euro 5/6;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-URE-SEN.png
PX-NOX-SEN;Sensor NOx;Sensor gases escapamento;Sensores;NOx;PRIMOX;24V;;Euro 5/6;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-NOX-SEN.png
PX-DEF-BOM;Bomba Dosadora ARLA;Modulo dosagem;Bombas;ARLA;PRIMOX;24V;;Euro 5/6;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-DEF-BOM.png
PX-ABS-MOD;Modulo ABS Reman;Modulo remanufaturado;Modulos;ABS;PRIMOX;12/24V;;Sob consulta;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-ABS-MOD.png
PX-BCM-UNI;Modulo Conforto BCM;Body control generico;Modulos;BCM;PRIMOX;12V;;Linha leve;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-BCM-UNI.png
PX-ECU-BEN;Bancada ECU Teste;Harness bancada;Ferramentas;ECU;PRIMOX;;;Oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-ECU-BEN.png
