"TestId","Theme","Resolution","Page","Window","Control","Content","AutomationName","Detail"
"EX-000394","","","Fornecedores","Fornecedores/NovoFornecedorWindow","ToggleButton","ToggleButton","","BTN-000145 Host disposed mid-queue"
"EX-000432","","","Funcionarios","Funcionarios/NovoPerfilWindow","ToggleButton","ToggleButton","","BTN-000206 Host disposed mid-queue"
"EX-000438","","","Funcionarios","Funcionarios/NovoFuncionarioWindow","ToggleButton","ToggleButton","","BTN-000209 Host disposed mid-queue"
"EX-000498","","","Orcamentos","Orcamentos/NovoOrcamentoWindow","ToggleButton","ToggleButton","","BTN-000272 Host disposed mid-queue"
"EX-000517","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000299 Host disposed mid-queue"
"EX-000560","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000368 Host disposed mid-queue"
"EX-000566","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000385 Host disposed mid-queue"
"EX-000569","","","Login","LoginWindow","EsqueciSenhaButton","Esqueci a senha","","BTN-000002 Host disposed mid-queue"
"EX-000617","","","CatalogoPecas","CatalogoPecas/ImportarCatalogoPecasWindow","SelecionarArquivoButton","Selecionar arquivo","","BTN-000053 Host disposed mid-queue"
"EX-000626","","","Clientes","Clientes/NovoClienteWindow","AssinaturaClienteButton","Assinatura digital","","BTN-000069 Host disposed mid-queue"
"EX-000634","","","Dashboard","Dashboard","AtalhoFinanceiroDashboardButton","Financeiro","","BTN-000078 Host disposed mid-queue"
"EX-000660","","","Fornecedores","Fornecedores/EditarFornecedorWindow","(sem Name)","Cancelar","","BTN-000121 Host disposed mid-queue"
"EX-000669","","","Fornecedores","Fornecedores/NovoFornecedorWindow","ToggleButton","ToggleButton","","BTN-000128 Host disposed mid-queue"
"EX-000706","","","Funcionarios","Funcionarios/NovoPerfilWindow","ToggleButton","ToggleButton","","BTN-000187 Host disposed mid-queue"
"EX-000712","","","Funcionarios","Funcionarios/NovoFuncionarioWindow","ToggleButton","ToggleButton","","BTN-000190 Host disposed mid-queue"
"EX-000769","","","Orcamentos","Orcamentos/NovoOrcamentoWindow","ToggleButton","ToggleButton","","BTN-000250 Host disposed mid-queue"
"EX-000774","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000273 Host disposed mid-queue"
"EX-000788","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000300 Host disposed mid-queue"
"EX-000837","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000375 Host disposed mid-queue"
"EX-000843","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000392 Host disposed mid-queue"
"EX-000846","","","Login","LoginWindow","EsqueciSenhaButton","Esqueci a senha","","BTN-000002 Host disposed mid-queue"
"EX-000894","","","CatalogoPecas","CatalogoPecas/ImportarCatalogoPecasWindow","SelecionarArquivoButton","Selecionar arquivo","","BTN-000053 Host disposed mid-queue"
"EX-000903","","","Clientes","Clientes/NovoClienteWindow","AssinaturaClienteButton","Assinatura digital","","BTN-000069 Host disposed mid-queue"
"EX-000911","","","Dashboard","Dashboard","AtalhoFinanceiroDashboardButton","Financeiro","","BTN-000078 Host disposed mid-queue"
"EX-000937","","","Fornecedores","Fornecedores/EditarFornecedorWindow","(sem Name)","Cancelar","","BTN-000121 Host disposed mid-queue"
"EX-000946","","","Fornecedores","Fornecedores/NovoFornecedorWindow","ToggleButton","ToggleButton","","BTN-000128 Host disposed mid-queue"
"EX-000983","","","Funcionarios","Funcionarios/NovoPerfilWindow","ToggleButton","ToggleButton","","BTN-000187 Host disposed mid-queue"
"EX-000989","","","Funcionarios","Funcionarios/NovoFuncionarioWindow","ToggleButton","ToggleButton","","BTN-000190 Host disposed mid-queue"
"EX-001046","","","Orcamentos","Orcamentos/NovoOrcamentoWindow","ToggleButton","ToggleButton","","BTN-000250 Host disposed mid-queue"
"EX-001051","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000273 Host disposed mid-queue"
"EX-001065","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000300 Host disposed mid-queue"
"EX-001108","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000369 Host disposed mid-queue"
"EX-001114","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000386 Host disposed mid-queue"
"EX-001117","","","Login","LoginWindow","EsqueciSenhaButton","Esqueci a senha","","BTN-000002 Host disposed mid-queue"
"EX-001165","","","CatalogoPecas","CatalogoPecas/ImportarCatalogoPecasWindow","SelecionarArquivoButton","Selecionar arquivo","","BTN-000053 Host disposed mid-queue"
"EX-001174","","","Clientes","Clientes/NovoClienteWindow","AssinaturaClienteButton","Assinatura digital","","BTN-000069 Host disposed mid-queue"
"EX-001182","","","Dashboard","Dashboard","AtalhoFinanceiroDashboardButton","Financeiro","","BTN-000078 Host disposed mid-queue"
"EX-001208","","","Fornecedores","Fornecedores/EditarFornecedorWindow","(sem Name)","Cancelar","","BTN-000121 Host disposed mid-queue"
"EX-001217","","","Fornecedores","Fornecedores/NovoFornecedorWindow","ToggleButton","ToggleButton","","BTN-000128 Host disposed mid-queue"
"EX-001255","","","Funcionarios","Funcionarios/NovoPerfilWindow","ToggleButton","ToggleButton","","BTN-000189 Host disposed mid-queue"
"EX-001261","","","Funcionarios","Funcionarios/NovoFuncionarioWindow","ToggleButton","ToggleButton","","BTN-000192 Host disposed mid-queue"
"EX-001318","","","Orcamentos","Orcamentos/NovoOrcamentoWindow","ToggleButton","ToggleButton","","BTN-000252 Host disposed mid-queue"
"EX-001323","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000275 Host disposed mid-queue"
"EX-001337","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000302 Host disposed mid-queue"
"EX-001386","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000377 Host disposed mid-queue"
"EX-001392","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000394 Host disposed mid-queue"
"EX-001395","","","Login","LoginWindow","EsqueciSenhaButton","Esqueci a senha","","BTN-000002 Host disposed mid-queue"
"EX-001443","","","CatalogoPecas","CatalogoPecas/ImportarCatalogoPecasWindow","SelecionarArquivoButton","Selecionar arquivo","","BTN-000053 Host disposed mid-queue"
"EX-001452","","","Clientes","Clientes/NovoClienteWindow","AssinaturaClienteButton","Assinatura digital","","BTN-000069 Host disposed mid-queue"
"EX-001460","","","Dashboard","Dashboard","AtalhoFinanceiroDashboardButton","Financeiro","","BTN-000078 Host disposed mid-queue"
"EX-001486","","","Fornecedores","Fornecedores/EditarFornecedorWindow","(sem Name)","Cancelar","","BTN-000121 Host disposed mid-queue"
"EX-001495","","","Fornecedores","Fornecedores/NovoFornecedorWindow","ToggleButton","ToggleButton","","BTN-000128 Host disposed mid-queue"
"EX-001533","","","Funcionarios","Funcionarios/NovoPerfilWindow","ToggleButton","ToggleButton","","BTN-000189 Host disposed mid-queue"
"EX-001539","","","Funcionarios","Funcionarios/NovoFuncionarioWindow","ToggleButton","ToggleButton","","BTN-000192 Host disposed mid-queue"
"EX-001596","","","Orcamentos","Orcamentos/NovoOrcamentoWindow","ToggleButton","ToggleButton","","BTN-000252 Host disposed mid-queue"
"EX-001601","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000275 Host disposed mid-queue"
"EX-001615","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000302 Host disposed mid-queue"
"EX-001658","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000371 Host disposed mid-queue"
"EX-001664","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000388 Host disposed mid-queue"
"EX-001667","","","Login","LoginWindow","EsqueciSenhaButton","Esqueci a senha","","BTN-000002 Host disposed mid-queue"
"EX-001715","","","CatalogoPecas","CatalogoPecas/ImportarCatalogoPecasWindow","SelecionarArquivoButton","Selecionar arquivo","","BTN-000053 Host disposed mid-queue"
"EX-001724","","","Clientes","Clientes/NovoClienteWindow","AssinaturaClienteButton","Assinatura digital","","BTN-000069 Host disposed mid-queue"
"EX-001732","","","Dashboard","Dashboard","AtalhoFinanceiroDashboardButton","Financeiro","","BTN-000078 Host disposed mid-queue"
"EX-001758","","","Fornecedores","Fornecedores/EditarFornecedorWindow","(sem Name)","Cancelar","","BTN-000121 Host disposed mid-queue"
"EX-001767","","","Fornecedores","Fornecedores/NovoFornecedorWindow","ToggleButton","ToggleButton","","BTN-000128 Host disposed mid-queue"
"EX-001806","","","Funcionarios","Funcionarios/NovoPerfilWindow","ToggleButton","ToggleButton","","BTN-000191 Host disposed mid-queue"
"EX-001812","","","Funcionarios","Funcionarios/NovoFuncionarioWindow","ToggleButton","ToggleButton","","BTN-000194 Host disposed mid-queue"
"EX-001869","","","Orcamentos","Orcamentos/NovoOrcamentoWindow","ToggleButton","ToggleButton","","BTN-000254 Host disposed mid-queue"
"EX-001874","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000277 Host disposed mid-queue"
"EX-001888","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000304 Host disposed mid-queue"
"EX-001937","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000379 Host disposed mid-queue"
"EX-001943","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000396 Host disposed mid-queue"
"EX-001946","","","Login","LoginWindow","EsqueciSenhaButton","Esqueci a senha","","BTN-000002 Host disposed mid-queue"
"EX-001994","","","CatalogoPecas","CatalogoPecas/ImportarCatalogoPecasWindow","SelecionarArquivoButton","Selecionar arquivo","","BTN-000053 Host disposed mid-queue"
"EX-002003","","","Clientes","Clientes/NovoClienteWindow","AssinaturaClienteButton","Assinatura digital","","BTN-000069 Host disposed mid-queue"
"EX-002011","","","Dashboard","Dashboard","AtalhoFinanceiroDashboardButton","Financeiro","","BTN-000078 Host disposed mid-queue"
"EX-002037","","","Fornecedores","Fornecedores/EditarFornecedorWindow","(sem Name)","Cancelar","","BTN-000121 Host disposed mid-queue"
"EX-002046","","","Fornecedores","Fornecedores/NovoFornecedorWindow","ToggleButton","ToggleButton","","BTN-000128 Host disposed mid-queue"
"EX-002083","","","Funcionarios","Funcionarios/NovoPerfilWindow","ToggleButton","ToggleButton","","BTN-000187 Host disposed mid-queue"
"EX-002089","","","Funcionarios","Funcionarios/NovoFuncionarioWindow","ToggleButton","ToggleButton","","BTN-000190 Host disposed mid-queue"
"EX-002146","","","Orcamentos","Orcamentos/NovoOrcamentoWindow","ToggleButton","ToggleButton","","BTN-000250 Host disposed mid-queue"
"EX-002151","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000273 Host disposed mid-queue"
"EX-002165","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000300 Host disposed mid-queue"
"EX-002208","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000369 Host disposed mid-queue"
"EX-002214","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000386 Host disposed mid-queue"
