DataHora=2026-09-26T14:05:34.5341682-03:00 | Nivel=INFO | Usuario=Nao autenticado | Perfil=Sem perfil | Tela=Geral | Acao=Inicializando estrutura do banco SQLite em 'C:\Users\campo\AppData\Local\Temp\primox-c113-smoke-20260926_140533\primoauto_operacional.db'. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:36.3185588-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: MainWindow (1092 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:36.3193076-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Dados:SeedBaseUi. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:36.8863930-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Dados:SeedBaseUi (567 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:36.8872899-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Produtos:CamposAnexosOperacionais. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:37.2901236-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Bloqueio criado: Produto/f6ef00df-70db-4d8c-83b9-1af1b75b79ed por Smoke Test em CIRO. Expira em 30 minutos. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:37.9754455-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Abertura de anexo do produto validada em automacao: C:\Users\campo\AppData\Local\Temp\primox-c113-smoke-20260926_140533\Media\Produtos\Anexos\f6ef00df70db4d8c83b91af1b75b79ed\20260926140536922_Produto_Smoke_298470993738_ficha-tecnica-20260926140536896-852c263ee13d431c8d945f3e8d4ecf96.txt | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:38.6201486-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Sucesso: Produto atualizado com sucesso! | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:38.6215778-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=DialogResult suprimido em automacao para 'EditarProdutoWindow': DialogResult somente pode ser definido após Window ser criado e exibido como caixa de diálogo. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:38.6286007-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Bloqueio liberado: Produto/f6ef00df-70db-4d8c-83b9-1af1b75b79ed por Smoke Test. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:39.2944934-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Produtos:CamposAnexosOperacionais (2407 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:39.2953095-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Produtos:CadastroCompletoPelaTela. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:40.2234053-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Sucesso: Produto cadastrado com sucesso! | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:40.2243511-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=DialogResult suprimido em automacao para 'NovoProdutoWindow': DialogResult somente pode ser definido após Window ser criado e exibido como caixa de diálogo. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:40.8863038-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Produtos:CadastroCompletoPelaTela (1590 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:40.8870490-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Produtos:EtiquetaPdfPelaTela. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:41.0407089-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Estoque: listagem carregou 551 produto(s). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:41.3234729-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Estoque layout: rootH=821; headerH=59; actionBarH=140; actionBarVis=Visible; metricsH=84; metricsVis=Visible; stateHostH=511; contentH=511; contentVis=Visible; loadingH=0; loadingVis=Collapsed; emptyH=0; emptyVis=Collapsed; errorH=0; errorVis=Collapsed; dataGridH=357; gridItems=551; totalTxt=551 | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:42.4983012-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Etiqueta gerada para produto SMK-298470993738 em C:\Users\campo\AppData\Local\Temp\primox-c113-smoke-20260926_140533\Logs\produtos-smoke\Etiqueta_298470993738_20260926_140542.pdf. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:43.1659172-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Produtos:EtiquetaPdfPelaTela (2278 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:43.1667473-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Estoque:EntradaSaidaHistoricoPelaTela. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:43.3225853-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Estoque: listagem carregou 551 produto(s). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:43.5599781-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Estoque layout: rootH=821; headerH=59; actionBarH=140; actionBarVis=Visible; metricsH=84; metricsVis=Visible; stateHostH=511; contentH=511; contentVis=Visible; loadingH=0; loadingVis=Collapsed; emptyH=0; emptyVis=Collapsed; errorH=0; errorVis=Collapsed; dataGridH=357; gridItems=551; totalTxt=551 | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:44.4358255-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Estoque: listagem carregou 551 produto(s). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:44.4782609-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Movimentacao dedicada de Entrada validada em automacao para produto SMK-298470993738. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:44.6269575-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Estoque layout: rootH=821; headerH=59; actionBarH=140; actionBarVis=Visible; metricsH=84; metricsVis=Visible; stateHostH=511; contentH=511; contentVis=Visible; loadingH=0; loadingVis=Collapsed; emptyH=0; emptyVis=Collapsed; errorH=0; errorVis=Collapsed; dataGridH=357; gridItems=551; totalTxt=551 | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:45.9758569-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Estoque: listagem carregou 551 produto(s). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:46.0046731-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Movimentacao dedicada de Saida validada em automacao para produto SMK-298470993738. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:46.1422781-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Estoque layout: rootH=821; headerH=59; actionBarH=140; actionBarVis=Visible; metricsH=84; metricsVis=Visible; stateHostH=511; contentH=511; contentVis=Visible; loadingH=0; loadingVis=Collapsed; emptyH=0; emptyVis=Collapsed; errorH=0; errorVis=Collapsed; dataGridH=357; gridItems=551; totalTxt=551 | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:47.4569633-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Estoque:EntradaSaidaHistoricoPelaTela (4290 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:47.4576733-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Estoque:FiltrosOperacionaisPelaTela. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:47.5747973-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Estoque: listagem carregou 556 produto(s). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:47.7093481-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Estoque | Acao=Estoque layout: rootH=821; headerH=59; actionBarH=140; actionBarVis=Visible; metricsH=84; metricsVis=Visible; stateHostH=511; contentH=511; contentVis=Visible; loadingH=0; loadingVis=Collapsed; emptyH=0; emptyVis=Collapsed; errorH=0; errorVis=Collapsed; dataGridH=357; gridItems=556; totalTxt=556 | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:55.5623510-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Estoque:FiltrosOperacionaisPelaTela (8104 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:55.5632681-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Fornecedores:ProdutoFornecedorComprasPrazosRanking. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:55.8698763-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Fornecedores:ProdutoFornecedorComprasPrazosRanking (306 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:55.8707874-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Fornecedores:AcoesSemExcluirNaColuna. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:55.9082991-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Fornecedores:AcoesSemExcluirNaColuna (37 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:55.9089834-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Fornecedores:ExcluirSomenteSelecionado. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:57.6124803-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Fornecedores:ExcluirSomenteSelecionado (1703 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:57.6134616-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Fornecedores:EditarPrazoCategoriaContatoRefleteFicha. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:57.7026282-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Fornecedores | Acao=Sucesso: Fornecedor Fornecedor Exclusao Edicao 20260926140557615-a50cc4daabd44c309a4f8669547b4cf9 atualizado com sucesso! | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:57.7040181-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Fornecedores | Acao=DialogResult suprimido em automacao para 'EditarFornecedorWindow': DialogResult somente pode ser definido após Window ser criado e exibido como caixa de diálogo. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:58.3979156-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Fornecedores:EditarPrazoCategoriaContatoRefleteFicha (784 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:58.3987493-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Clientes:LGPDAtalhosOperacionais. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:59.4641316-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=WhatsApp do cliente validado em automacao para o telefone 5511988880001. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:00.4629083-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Janela de nova OS por atalho de cliente validada em automacao sem abrir modal bloqueante. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:01.3764182-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Janela de novo orcamento por atalho de cliente validada em automacao sem abrir modal bloqueante. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:02.0120087-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Clientes:LGPDAtalhosOperacionais (3613 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:02.0128404-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Clientes:CadastroCompletoPelaTela. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:02.1606330-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Arquivo sintetico de cliente gerado em 'C:\Users\campo\AppData\Local\Temp\primox-c113-smoke-20260926_140533\Clientes\Automacao\documento-cliente-smoke.txt'. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:02.1615834-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Documento: Documento sintetico vinculado ao cadastro em automacao. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:02.7901324-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Assinatura digital registrada para cliente 'Cliente Cadastro Completo 140602015' em 'C:\Users\campo\AppData\Local\Temp\primox-c113-smoke-20260926_140533\Clientes\Assinaturas\20260926140602_Cliente_Cadastro_Completo_140602015_dcf2cdb791464510ac22570d0ab525ab.txt'. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:02.7910800-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Assinatura Digital: Assinatura digital registrada e vinculada ao cadastro. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:04.0594089-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Sucesso: Cliente Cliente Cadastro Completo 140602015 salvo com sucesso! | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:04.0603750-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=DialogResult suprimido em automacao para 'NovoClienteWindow': DialogResult somente pode ser definido após Window ser criado e exibido como caixa de diálogo. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:04.8733111-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Bloqueio criado: Cliente/d421cb46-f82e-42e7-979d-dc3293e1e001 por Smoke Test em CIRO. Expira em 30 minutos. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:04.9178965-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Bloqueio liberado: Cliente/d421cb46-f82e-42e7-979d-dc3293e1e001 por Smoke Test. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:09.9598171-03:00 | Nivel=WARN | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test: janela EditarClienteWindow nao ficou visivel apos 5s. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:09.9662486-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Sucesso: Cliente atualizado com sucesso! | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:09.9671467-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=DialogResult suprimido em automacao para 'EditarClienteWindow': DialogResult somente pode ser definido após Window ser criado e exibido como caixa de diálogo. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:10.7041922-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Clientes:CadastroCompletoPelaTela (8691 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:10.7050525-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Clientes:AnexosAssinatura. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:15.8763814-03:00 | Nivel=WARN | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test: janela VisualizarClienteWindow nao ficou visivel apos 5s. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:15.8779496-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Abertura de documento validada em automacao sem executar aplicativo externo. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:16.5152346-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Abertura de assinatura validada em automacao sem executar aplicativo externo. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:17.2270374-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Bloqueio criado: Cliente/746b796b-3293-4f68-96bf-13143ef83b92 por Smoke Test em CIRO. Expira em 30 minutos. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:17.2679858-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Abertura de documento validada em automacao sem executar aplicativo externo. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:17.9094474-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Clientes | Acao=Abertura de assinatura validada em automacao sem executar aplicativo externo. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:18.5422567-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Bloqueio liberado: Cliente/746b796b-3293-4f68-96bf-13143ef83b92 por Smoke Test. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:18.5430122-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Clientes:AnexosAssinatura (7837 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:18.5437693-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Dashboard:IndicadoresReaisAtalhos. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:18.5537079-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Venda '3d8a359e-7f39-4089-bdd9-36097799af15' registrada com 1 item(ns) e total R$ 25,00. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:18.6028595-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Adicionado ao cache: Dashboard | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:18.6035250-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Navegacao registrada: Dashboard | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:18.6040839-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Navegacao concluida para o modulo 'Dashboard'. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:19.5502453-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Financeiro | Acao=ObterMovimentacoes(limit=1200) concluida em 17 ms. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:19.6740713-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Financeiro | Acao=ObterMovimentacoes(limit=1200) concluida em 2 ms. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:19.7649015-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Financeiro | Acao=ObterMovimentacoes(limit=1200) concluida em 2 ms. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:19.7708638-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Adicionado ao cache: Financeiro | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:19.7714506-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Navegacao registrada: Financeiro | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:19.7720268-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Navegacao concluida para o modulo 'Financeiro'. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:20.1569086-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Financeiro | Acao=ObterMovimentacoes(limit=1200) concluida em 2 ms. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:20.1719620-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Financeiro | Acao=ObterMovimentacoes(limit=1200) concluida em 2 ms. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:20.2325861-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Financeiro | Acao=ObterMovimentacoes(limit=1200) concluida em 2 ms. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:21.3779691-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Dashboard:IndicadoresReaisAtalhos (2834 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:21.3789053-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Veiculos:CadastroCompletoPelaTela. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:22.3608307-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Veiculos | Acao=DialogResult suprimido em automacao para 'NovoVeiculoWindow': DialogResult somente pode ser definido após Window ser criado e exibido como caixa de diálogo. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:23.0111781-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Veiculos:CadastroCompletoPelaTela (1632 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:23.0119665-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Veiculos:AlertasMidiaDocumentos. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:23.7184507-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Veiculos:AlertasMidiaDocumentos (706 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:23.7191916-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: Veiculos:ExportacaoCsvPelaTela. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:24.3530879-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Exportacao de veiculos validada em automacao: C:\Users\campo\AppData\Local\Temp\primox-c113-smoke-20260926_140533\Exports\veiculos_20260926140624.csv | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:24.9923626-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test aprovado: Veiculos:ExportacaoCsvPelaTela (1273 ms). | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:06:24.9933688-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: AutoEletrica:CatalogosTecnicosObrigatorios. | ErroTecnico= | StackTrace=
