Table,Column,Category,OldType,NewType,Nullable,Status
Agendamentos,ClienteTotalGasto,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Agendamentos,ValorEstimado,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Agendamentos,ValorReal,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Agendamentos,ValorPago,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Agendamentos,ValorProdutos,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Agendamentos,ValorServicos,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
AgendamentoServicos,Valor,MONEY,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
AgendamentoProdutos,PrecoUnitario,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
AgendamentoProdutos,PrecoTotal,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
ImportacoesNFe,ValorTotal,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
ImportacoesNFe,ValorProdutos,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
ImportacoesItens,Quantidade,NON_MONETARY_PRESERVED,REAL,REAL,NAO,PRESERVADO_INALTERADO
ImportacoesItens,ValorUnitario,MONEY,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
ImportacoesItens,ValorTotal,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
ImportacoesItens,MargemAplicada,NON_MONETARY_PRESERVED,REAL,REAL,NAO,PRESERVADO_INALTERADO
ImportacoesItens,PrecoVendaSugerido,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
ImportacoesNFeExclusoes,ValorTotal,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
Vendas,Total,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
Vendas,Desconto,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
VendaItens,Quantidade,NON_MONETARY_PRESERVED,INTEGER,INTEGER,NAO,PRESERVADO_INALTERADO
VendaItens,PrecoUnitario,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
VendaItens,CustoUnitario,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
VendaItens,Desconto,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
VendaItens,Subtotal,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
CaixaSessoes,ValorAbertura,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
CaixaSessoes,ValorEsperado,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
CaixaSessoes,ValorInformadoFechamento,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
CaixaSessoes,TotalVendas,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
CaixaSessoes,TotalSangrias,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
CaixaSessoes,TotalSuprimentos,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
MovimentacoesCaixa,ValorMovimento,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
MovimentacoesCaixa,ValorInicial,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
MovimentacoesCaixa,ValorFinal,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
MovimentacoesCaixa,Sangrias,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
MovimentacoesCaixa,Suprimentos,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
MovimentacoesCaixa,Diferenca,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
