ID,Tela,Arquivo,Elemento,Rotulo,Handler,Tipo,Risco,Classificacao,Observacao
BTN-0011,AtalhosTecladoWindow,Views\AtalhosTecladoWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",Fechar_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0012,AtualizacaoWindow,Views\AtualizacaoWindow.xaml,CheckUpdateButton,Verificar Atualizações,CheckUpdateButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0013,AtualizacaoWindow,Views\AtualizacaoWindow.xaml,InstallUpdateButton,Instalar Atualização,InstallUpdateButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0014,AtualizacaoWindow,Views\AtualizacaoWindow.xaml,CancelButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0015,BackupSettingsWindow,Views\BackupSettingsWindow.xaml,BrowseButton,...,,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0016,BackupSettingsWindow,Views\BackupSettingsWindow.xaml,TestBackupButton,Testar Backup,TestBackupButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0017,BackupSettingsWindow,Views\BackupSettingsWindow.xaml,SaveButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Save]}",SaveButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0018,BackupSettingsWindow,Views\BackupSettingsWindow.xaml,CancelButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0019,ChecklistTecnicoWindow,Views\ChecklistTecnicoWindow.xaml,,✕,FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0020,ChecklistTecnicoWindow,Views\ChecklistTecnicoWindow.xaml,,Todos OK,MarcarTodosOkButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0021,ChecklistTecnicoWindow,Views\ChecklistTecnicoWindow.xaml,AbrirDiagnosticoGuiadoButton,Abrir Roteiro D01-D06,AbrirDiagnosticoGuiadoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0022,ChecklistTecnicoWindow,Views\ChecklistTecnicoWindow.xaml,,Anexar Evidência,AnexarEvidenciaButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0023,ChecklistTecnicoWindow,Views\ChecklistTecnicoWindow.xaml,,Fechar,FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0024,ChecklistTecnicoWindow,Views\ChecklistTecnicoWindow.xaml,SalvarProgressoButton,Salvar Progresso,SalvarProgressoButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0025,ChecklistTecnicoWindow,Views\ChecklistTecnicoWindow.xaml,ConcluirChecklistButton,Concluir Checklist,ConcluirChecklistButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0026,ConfiguracoesSistemaWindow,Views\ConfiguracoesSistemaWindow.xaml,,X,FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0027,ConfiguracoesSistemaWindow,Views\ConfiguracoesSistemaWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0028,ConfiguracoesSistemaWindow,Views\ConfiguracoesSistemaWindow.xaml,,Salvar configuracoes,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0029,ConfigurarPermissoesWindow,Views\ConfigurarPermissoesWindow.xaml,,X,FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0030,ConfigurarPermissoesWindow,Views\ConfigurarPermissoesWindow.xaml,NovaPermissaoButton,Nova permissao,NovaPermissaoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0031,ConfigurarPermissoesWindow,Views\ConfigurarPermissoesWindow.xaml,CancelarPermissaoButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarPermissaoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0032,ConfigurarPermissoesWindow,Views\ConfigurarPermissoesWindow.xaml,SalvarPermissaoButton,Salvar permissao,SalvarPermissaoButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0033,ConfigurarPermissoesWindow,Views\ConfigurarPermissoesWindow.xaml,ExportarPermissoesButton,Exportar permissoes,ExportarPermissoesButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0034,ConfigurarPermissoesWindow,Views\ConfigurarPermissoesWindow.xaml,FecharButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0035,ConfirmacaoCriticaWindow,Views\ConfirmacaoCriticaWindow.xaml,,X,CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0036,ConfirmacaoCriticaWindow,Views\ConfirmacaoCriticaWindow.xaml,,Voltar,CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0037,ConfirmacaoCriticaWindow,Views\ConfirmacaoCriticaWindow.xaml,ConfirmarButton,Confirmar,ConfirmarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0038,DviOrcamentoWindow,Views\DviOrcamentoWindow.xaml,,Recarregar padrao,DviCarregarPadraoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0039,DviOrcamentoWindow,Views\DviOrcamentoWindow.xaml,,Entrada OK todos,DviMarcarEntradaOkButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0040,DviOrcamentoWindow,Views\DviOrcamentoWindow.xaml,,Foto,DviFotoItemButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0041,DviOrcamentoWindow,Views\DviOrcamentoWindow.xaml,,Cancelar,Cancelar_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0042,DviOrcamentoWindow,Views\DviOrcamentoWindow.xaml,DviSalvarButton,Salvar DVI,Salvar_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0043,EditarFornecedorWindow,Views\EditarFornecedorWindow.xaml,,X,FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0044,EditarFornecedorWindow,Views\EditarFornecedorWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0045,EditarFornecedorWindow,Views\EditarFornecedorWindow.xaml,,Salvar alteracoes,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0046,EditarFuncionarioWindow,Views\EditarFuncionarioWindow.xaml,,Trocar foto,SelecionarFotoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0047,EditarFuncionarioWindow,Views\EditarFuncionarioWindow.xaml,RemoverFotoButton,Remover,RemoverFotoButton_Click,Button,Alto,DESTRUCTIVE_REQUIRES_CONFIRMATION,Ação destrutiva inspecionada com segurança — execução bloqueada
BTN-0048,EditarFuncionarioWindow,Views\EditarFuncionarioWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0049,EditarFuncionarioWindow,Views\EditarFuncionarioWindow.xaml,SalvarButton,Salvar alteracoes,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0050,EditarProdutoWindow,Views\EditarProdutoWindow.xaml,,X,FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0051,EditarProdutoWindow,Views\EditarProdutoWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0052,EditarProdutoWindow,Views\EditarProdutoWindow.xaml,SalvarProdutoButton,Salvar alteracoes,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0053,FriendlyErrorWindow,Views\FriendlyErrorWindow.xaml,CopyErrorButton,Copiar erro,CopyErrorButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0054,FriendlyErrorWindow,Views\FriendlyErrorWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",CloseButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0055,GerenciarPerfisWindow,Views\GerenciarPerfisWindow.xaml,,X,FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0056,GerenciarPerfisWindow,Views\GerenciarPerfisWindow.xaml,NovoPerfilButton,Novo perfil,NovoPerfilButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0057,GerenciarPerfisWindow,Views\GerenciarPerfisWindow.xaml,CancelarPerfilButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarPerfilButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0058,GerenciarPerfisWindow,Views\GerenciarPerfisWindow.xaml,SalvarPerfilButton,Salvar perfil,SalvarPerfilButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0059,GerenciarPerfisWindow,Views\GerenciarPerfisWindow.xaml,FecharButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0060,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,,Nova OS,NovaOs360Button_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0061,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,,Orçamento,NovoOrcamento360Button_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0062,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,,Agendar,Agendar360Button_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0063,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,,Novo veículo,NovoVeiculo360Button_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0064,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[WhatsApp]}",WhatsApp360Button_Click,Button,Médio,REQUIRES_EXTERNAL_DEPENDENCY,Dependência externa (SEFAZ / Certificado / WhatsApp)
BTN-0065,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,,Pós-Venda,PosVenda360Button_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0066,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0067,HistoricoClienteWindow,Views\HistoricoClienteWindow.xaml,,360,AbrirVeiculo360FromCliente_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0068,HistoricoEstoqueWindow,Views\HistoricoEstoqueWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",Fechar_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0069,ImportarCatalogoPecasWindow,Views\ImportarCatalogoPecasWindow.xaml,,X,CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0070,ImportarCatalogoPecasWindow,Views\ImportarCatalogoPecasWindow.xaml,SelecionarArquivoButton,Selecionar arquivo,SelecionarArquivoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0071,ImportarCatalogoPecasWindow,Views\ImportarCatalogoPecasWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0072,ImportarCatalogoPecasWindow,Views\ImportarCatalogoPecasWindow.xaml,GerarPreviaButton,Gerar previa,GerarPreviaButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0073,ImportarCatalogoPecasWindow,Views\ImportarCatalogoPecasWindow.xaml,ConfirmarImportacaoButton,Confirmar importacao,ConfirmarImportacaoButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0074,ImportarNotaWindow,Views\ImportarNotaWindow.xaml,SelecionarXmlButton,Selecionar XML,SelecionarXmlButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0075,ImportarNotaWindow,Views\ImportarNotaWindow.xaml,AplicarSugestoesButton,Aplicar sugestoes,AplicarSugestoesButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0076,ImportarNotaWindow,Views\ImportarNotaWindow.xaml,SelecionarTodosButton,Selecionar todos,SelecionarTodosButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0077,ImportarNotaWindow,Views\ImportarNotaWindow.xaml,IgnorarSelecionadosButton,Ignorar selecionados,IgnorarSelecionadosButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0078,ImportarNotaWindow,Views\ImportarNotaWindow.xaml,ImportarButton,Confirmar importacao,ImportarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0079,ImportarNotaWindow,Views\ImportarNotaWindow.xaml,,Trocar XML,SelecionarXmlButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0080,ImportarNotaWindow,Views\ImportarNotaWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0081,LicenseActivationWindow,Views\LicenseActivationWindow.xaml,ActivateButton,Ativar,ActivateButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0082,LicenseActivationWindow,Views\LicenseActivationWindow.xaml,CancelButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0083,LoginWindow,Views\LoginWindow.xaml,CloseButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Close]}",CloseButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0084,LoginWindow,Views\LoginWindow.xaml,MostrarSenhaButton,Mostrar senha,MostrarSenhaButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0085,LoginWindow,Views\LoginWindow.xaml,EsqueciSenhaButton,Esqueci a senha,EsqueciSenhaButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0086,LoginWindow,Views\LoginWindow.xaml,LoginButton,Entrar,LoginButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0087,NovoAgendamentoPremiumWindow,Views\NovoAgendamentoPremiumWindow.xaml,,X,{Binding FecharCommand},Button,Baixo,PASS,Interação de navegação/consulta
BTN-0088,NovoAgendamentoPremiumWindow,Views\NovoAgendamentoPremiumWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Save]}",{Binding SalvarCommand},Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0089,NovoAgendamentoPremiumWindow,Views\NovoAgendamentoPremiumWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",{Binding CancelarCommand},Button,Baixo,PASS,Interação de navegação/consulta
BTN-0090,NovoFornecedorWindow,Views\NovoFornecedorWindow.xaml,,,FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0091,NovoFornecedorWindow,Views\NovoFornecedorWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0092,NovoFornecedorWindow,Views\NovoFornecedorWindow.xaml,,Salvar fornecedor,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0093,NovoFuncionarioWindow,Views\NovoFuncionarioWindow.xaml,,Selecionar foto,SelecionarFotoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0094,NovoFuncionarioWindow,Views\NovoFuncionarioWindow.xaml,RemoverFotoButton,Remover,RemoverFotoButton_Click,Button,Alto,DESTRUCTIVE_REQUIRES_CONFIRMATION,Ação destrutiva inspecionada com segurança — execução bloqueada
BTN-0095,NovoFuncionarioWindow,Views\NovoFuncionarioWindow.xaml,CancelarButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0096,NovoFuncionarioWindow,Views\NovoFuncionarioWindow.xaml,SalvarButton,Salvar funcionario,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0097,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,X,Cancelar_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0098,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,Adicionar produto,AdicionarProduto_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0099,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,Adicionar mao de obra,AdicionarMaoDeObra_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0100,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,AbrirDviOrcamentoButton,DVI,AbrirDviOrcamento_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0101,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",Cancelar_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0102,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,WhatsApp,EnviarWhatsAppOrcamento_Click,Button,Médio,REQUIRES_EXTERNAL_DEPENDENCY,Dependência externa (SEFAZ / Certificado / WhatsApp)
BTN-0103,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,Token aprov.,GerarTokenAprovacao_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0104,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,Validar token,RegistrarAprovacaoToken_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0105,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,Recusar token,RecusarToken_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0106,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,Historico,HistoricoTokens_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0107,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,Salvar rascunho,SalvarRascunho_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0108,NovoOrcamentoWindow,Views\NovoOrcamentoWindow.xaml,,Salvar orcamento,Salvar_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0109,NovoPerfilWindow,Views\NovoPerfilWindow.xaml,CancelarButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0110,NovoPerfilWindow,Views\NovoPerfilWindow.xaml,SalvarButton,Criar perfil,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0111,NovoProdutoWindow,Views\NovoProdutoWindow.xaml,,X,FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0112,NovoProdutoWindow,Views\NovoProdutoWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0113,NovoProdutoWindow,Views\NovoProdutoWindow.xaml,SalvarProdutoButton,Salvar produto,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0114,NovoVeiculoWindow,Views\NovoVeiculoWindow.xaml,,X,FecharButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0115,NovoVeiculoWindow,Views\NovoVeiculoWindow.xaml,SelecionarFotoVeiculoButton,Selecionar foto,SelecionarFotoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0116,NovoVeiculoWindow,Views\NovoVeiculoWindow.xaml,RemoverFotoVeiculoButton,Remover,RemoverFotoButton_Click,Button,Alto,DESTRUCTIVE_REQUIRES_CONFIRMATION,Ação destrutiva inspecionada com segurança — execução bloqueada
BTN-0117,NovoVeiculoWindow,Views\NovoVeiculoWindow.xaml,SelecionarDocumentoVeiculoButton,Selecionar documento,SelecionarDocumentoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0118,NovoVeiculoWindow,Views\NovoVeiculoWindow.xaml,RemoverDocumentoVeiculoButton,Remover,RemoverDocumentoButton_Click,Button,Alto,DESTRUCTIVE_REQUIRES_CONFIRMATION,Ação destrutiva inspecionada com segurança — execução bloqueada
BTN-0119,NovoVeiculoWindow,Views\NovoVeiculoWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0120,NovoVeiculoWindow,Views\NovoVeiculoWindow.xaml,SalvarVeiculoButton,Salvar veiculo,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0121,OperacaoCaixaWindow,Views\OperacaoCaixaWindow.xaml,,X,CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0122,OperacaoCaixaWindow,Views\OperacaoCaixaWindow.xaml,,Voltar,CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0123,OperacaoCaixaWindow,Views\OperacaoCaixaWindow.xaml,ConfirmarButton,ConfirmarButton,ConfirmarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0124,OrcamentosView,Views\OrcamentosView.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[NewQuote]}",,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0125,OrcamentosView,Views\OrcamentosView.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Duplicate]}",,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0126,OrcamentosView,Views\OrcamentosView.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[ExportPdf]}",,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0127,OrcamentosView,Views\OrcamentosView.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Print]}",,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0128,OrcamentosView,Views\OrcamentosView.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[WhatsApp]}",,Button,Médio,REQUIRES_EXTERNAL_DEPENDENCY,Dependência externa (SEFAZ / Certificado / WhatsApp)
BTN-0129,OrcamentosView,Views\OrcamentosView.xaml,,Email,,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0130,OrcamentosView,Views\OrcamentosView.xaml,,Converter em venda,,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0131,OrcamentosView,Views\OrcamentosView.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[SaveDraft]}",,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0132,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,,X,CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0133,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,AdicionarFotosAntesOsButton,Adicionar fotos,AdicionarFotoAntesButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0134,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,LimparFotosAntesOsButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Clear]}",LimparFotosAntesButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0135,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,AdicionarFotosDepoisOsButton,Adicionar fotos,AdicionarFotoDepoisButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0136,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,LimparFotosDepoisOsButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Clear]}",LimparFotosDepoisButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0137,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,AdicionarProdutoOsButton,Adicionar peca,AdicionarProdutoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0138,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,AdicionarServicoOsButton,Adicionar servico,AdicionarServicoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0139,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,RemoverItemOsButton,Remover item,RemoverItemButton_Click,Button,Alto,DESTRUCTIVE_REQUIRES_CONFIRMATION,Ação destrutiva inspecionada com segurança — execução bloqueada
BTN-0140,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,,Vincular orcamento,SelecionarOrcamentoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0141,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Clear]}",LimparOrcamentoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0142,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,DviCarregarPadraoButton,Recarregar padrao,DviCarregarPadraoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0143,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,DviMarcarEntradaOkButton,Entrada OK todos,DviMarcarEntradaOkButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0144,OrdemServicoWindow,Views\OrdemServicoWindow.xaml,,Foto,DviFotoItemButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
