Arquivo,Origem,Destino,Obrigatório,Tipo,Preservar no Update?,Preservar no Uninstall?,Observação
Microsoft.Extensions.DependencyInjection.dll,publish/win-x64/Microsoft.Extensions.DependencyInjection.dll,{app}/Microsoft.Extensions.DependencyInjection.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.FileProviders.Abstractions.dll,publish/win-x64/Microsoft.Extensions.FileProviders.Abstractions.dll,{app}/Microsoft.Extensions.FileProviders.Abstractions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.FileProviders.Physical.dll,publish/win-x64/Microsoft.Extensions.FileProviders.Physical.dll,{app}/Microsoft.Extensions.FileProviders.Physical.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.FileSystemGlobbing.dll,publish/win-x64/Microsoft.Extensions.FileSystemGlobbing.dll,{app}/Microsoft.Extensions.FileSystemGlobbing.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Logging.Abstractions.dll,publish/win-x64/Microsoft.Extensions.Logging.Abstractions.dll,{app}/Microsoft.Extensions.Logging.Abstractions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Logging.Configuration.dll,publish/win-x64/Microsoft.Extensions.Logging.Configuration.dll,{app}/Microsoft.Extensions.Logging.Configuration.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Logging.Console.dll,publish/win-x64/Microsoft.Extensions.Logging.Console.dll,{app}/Microsoft.Extensions.Logging.Console.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Logging.dll,publish/win-x64/Microsoft.Extensions.Logging.dll,{app}/Microsoft.Extensions.Logging.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Options.ConfigurationExtensions.dll,publish/win-x64/Microsoft.Extensions.Options.ConfigurationExtensions.dll,{app}/Microsoft.Extensions.Options.ConfigurationExtensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Options.dll,publish/win-x64/Microsoft.Extensions.Options.dll,{app}/Microsoft.Extensions.Options.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Primitives.dll,publish/win-x64/Microsoft.Extensions.Primitives.dll,{app}/Microsoft.Extensions.Primitives.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.IO.RecyclableMemoryStream.dll,publish/win-x64/Microsoft.IO.RecyclableMemoryStream.dll,{app}/Microsoft.IO.RecyclableMemoryStream.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Identity.Client.Extensions.Msal.dll,publish/win-x64/Microsoft.Identity.Client.Extensions.Msal.dll,{app}/Microsoft.Identity.Client.Extensions.Msal.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Identity.Client.dll,publish/win-x64/Microsoft.Identity.Client.dll,{app}/Microsoft.Identity.Client.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.IdentityModel.Abstractions.dll,publish/win-x64/Microsoft.IdentityModel.Abstractions.dll,{app}/Microsoft.IdentityModel.Abstractions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.IdentityModel.JsonWebTokens.dll,publish/win-x64/Microsoft.IdentityModel.JsonWebTokens.dll,{app}/Microsoft.IdentityModel.JsonWebTokens.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.IdentityModel.Logging.dll,publish/win-x64/Microsoft.IdentityModel.Logging.dll,{app}/Microsoft.IdentityModel.Logging.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.IdentityModel.Protocols.OpenIdConnect.dll,publish/win-x64/Microsoft.IdentityModel.Protocols.OpenIdConnect.dll,{app}/Microsoft.IdentityModel.Protocols.OpenIdConnect.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.IdentityModel.Protocols.dll,publish/win-x64/Microsoft.IdentityModel.Protocols.dll,{app}/Microsoft.IdentityModel.Protocols.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.IdentityModel.Tokens.dll,publish/win-x64/Microsoft.IdentityModel.Tokens.dll,{app}/Microsoft.IdentityModel.Tokens.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.SqlServer.Server.dll,publish/win-x64/Microsoft.SqlServer.Server.dll,{app}/Microsoft.SqlServer.Server.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.VisualBasic.Core.dll,publish/win-x64/Microsoft.VisualBasic.Core.dll,{app}/Microsoft.VisualBasic.Core.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.VisualBasic.dll,publish/win-x64/Microsoft.VisualBasic.dll,{app}/Microsoft.VisualBasic.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Win32.Primitives.dll,publish/win-x64/Microsoft.Win32.Primitives.dll,{app}/Microsoft.Win32.Primitives.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Win32.Registry.AccessControl.dll,publish/win-x64/Microsoft.Win32.Registry.AccessControl.dll,{app}/Microsoft.Win32.Registry.AccessControl.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Win32.Registry.dll,publish/win-x64/Microsoft.Win32.Registry.dll,{app}/Microsoft.Win32.Registry.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Win32.SystemEvents.dll,publish/win-x64/Microsoft.Win32.SystemEvents.dll,{app}/Microsoft.Win32.SystemEvents.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Otp.NET.dll,publish/win-x64/Otp.NET.dll,{app}/Otp.NET.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PRIMOX-PUBLISH-MANIFEST.json,publish/win-x64/PRIMOX-PUBLISH-MANIFEST.json,{app}/PRIMOX-PUBLISH-MANIFEST.json,SIM,CONFIGURAÇÃO,SIM (Preserva se customizado),SIM (Preservado em AppData),Configuração de runtime / manifest
PdfSharpCore.dll,publish/win-x64/PdfSharpCore.dll,{app}/PdfSharpCore.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PenImc_cor3.dll,publish/win-x64/PenImc_cor3.dll,{app}/PenImc_cor3.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationCore.dll,publish/win-x64/PresentationCore.dll,{app}/PresentationCore.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework-SystemCore.dll,publish/win-x64/PresentationFramework-SystemCore.dll,{app}/PresentationFramework-SystemCore.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework-SystemData.dll,publish/win-x64/PresentationFramework-SystemData.dll,{app}/PresentationFramework-SystemData.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework-SystemDrawing.dll,publish/win-x64/PresentationFramework-SystemDrawing.dll,{app}/PresentationFramework-SystemDrawing.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework-SystemXml.dll,publish/win-x64/PresentationFramework-SystemXml.dll,{app}/PresentationFramework-SystemXml.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework-SystemXmlLinq.dll,publish/win-x64/PresentationFramework-SystemXmlLinq.dll,{app}/PresentationFramework-SystemXmlLinq.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework.Aero.dll,publish/win-x64/PresentationFramework.Aero.dll,{app}/PresentationFramework.Aero.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework.Aero2.dll,publish/win-x64/PresentationFramework.Aero2.dll,{app}/PresentationFramework.Aero2.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework.AeroLite.dll,publish/win-x64/PresentationFramework.AeroLite.dll,{app}/PresentationFramework.AeroLite.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework.Classic.dll,publish/win-x64/PresentationFramework.Classic.dll,{app}/PresentationFramework.Classic.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework.Fluent.dll,publish/win-x64/PresentationFramework.Fluent.dll,{app}/PresentationFramework.Fluent.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework.Luna.dll,publish/win-x64/PresentationFramework.Luna.dll,{app}/PresentationFramework.Luna.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework.Royale.dll,publish/win-x64/PresentationFramework.Royale.dll,{app}/PresentationFramework.Royale.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationFramework.dll,publish/win-x64/PresentationFramework.dll,{app}/PresentationFramework.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationNative_cor3.dll,publish/win-x64/PresentationNative_cor3.dll,{app}/PresentationNative_cor3.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PresentationUI.dll,publish/win-x64/PresentationUI.dll,{app}/PresentationUI.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PrimoAutoEletrica.deps.json,publish/win-x64/PrimoAutoEletrica.deps.json,{app}/PrimoAutoEletrica.deps.json,SIM,CONFIGURAÇÃO,SIM (Preserva se customizado),SIM (Preservado em AppData),Configuração de runtime / manifest
PrimoAutoEletrica.dll,publish/win-x64/PrimoAutoEletrica.dll,{app}/PrimoAutoEletrica.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
PrimoAutoEletrica.exe,publish/win-x64/PrimoAutoEletrica.exe,{app}/PrimoAutoEletrica.exe,SIM,EXECUTÁVEL,NÃO (Substituído),NÃO (Removido),Binário principal do produto (WPF / .NET 10 self-contained)
PrimoAutoEletrica.runtimeconfig.json,publish/win-x64/PrimoAutoEletrica.runtimeconfig.json,{app}/PrimoAutoEletrica.runtimeconfig.json,SIM,CONFIGURAÇÃO,SIM (Preserva se customizado),SIM (Preservado em AppData),Configuração de runtime / manifest
ReachFramework.dll,publish/win-x64/ReachFramework.dll,{app}/ReachFramework.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
SQLitePCLRaw.batteries_v2.dll,publish/win-x64/SQLitePCLRaw.batteries_v2.dll,{app}/SQLitePCLRaw.batteries_v2.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
SQLitePCLRaw.core.dll,publish/win-x64/SQLitePCLRaw.core.dll,{app}/SQLitePCLRaw.core.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
SQLitePCLRaw.provider.e_sqlite3.dll,publish/win-x64/SQLitePCLRaw.provider.e_sqlite3.dll,{app}/SQLitePCLRaw.provider.e_sqlite3.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
SixLabors.Fonts.dll,publish/win-x64/SixLabors.Fonts.dll,{app}/SixLabors.Fonts.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
SixLabors.ImageSharp.dll,publish/win-x64/SixLabors.ImageSharp.dll,{app}/SixLabors.ImageSharp.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
SkiaSharp.HarfBuzz.dll,publish/win-x64/SkiaSharp.HarfBuzz.dll,{app}/SkiaSharp.HarfBuzz.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
SkiaSharp.dll,publish/win-x64/SkiaSharp.dll,{app}/SkiaSharp.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.AppContext.dll,publish/win-x64/System.AppContext.dll,{app}/System.AppContext.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Buffers.dll,publish/win-x64/System.Buffers.dll,{app}/System.Buffers.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ClientModel.dll,publish/win-x64/System.ClientModel.dll,{app}/System.ClientModel.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.CodeDom.dll,publish/win-x64/System.CodeDom.dll,{app}/System.CodeDom.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Collections.Concurrent.dll,publish/win-x64/System.Collections.Concurrent.dll,{app}/System.Collections.Concurrent.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Collections.Immutable.dll,publish/win-x64/System.Collections.Immutable.dll,{app}/System.Collections.Immutable.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Collections.NonGeneric.dll,publish/win-x64/System.Collections.NonGeneric.dll,{app}/System.Collections.NonGeneric.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Collections.Specialized.dll,publish/win-x64/System.Collections.Specialized.dll,{app}/System.Collections.Specialized.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Collections.dll,publish/win-x64/System.Collections.dll,{app}/System.Collections.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ComponentModel.Annotations.dll,publish/win-x64/System.ComponentModel.Annotations.dll,{app}/System.ComponentModel.Annotations.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ComponentModel.DataAnnotations.dll,publish/win-x64/System.ComponentModel.DataAnnotations.dll,{app}/System.ComponentModel.DataAnnotations.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ComponentModel.EventBasedAsync.dll,publish/win-x64/System.ComponentModel.EventBasedAsync.dll,{app}/System.ComponentModel.EventBasedAsync.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ComponentModel.Primitives.dll,publish/win-x64/System.ComponentModel.Primitives.dll,{app}/System.ComponentModel.Primitives.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ComponentModel.TypeConverter.dll,publish/win-x64/System.ComponentModel.TypeConverter.dll,{app}/System.ComponentModel.TypeConverter.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ComponentModel.dll,publish/win-x64/System.ComponentModel.dll,{app}/System.ComponentModel.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Configuration.ConfigurationManager.dll,publish/win-x64/System.Configuration.ConfigurationManager.dll,{app}/System.Configuration.ConfigurationManager.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Configuration.dll,publish/win-x64/System.Configuration.dll,{app}/System.Configuration.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Console.dll,publish/win-x64/System.Console.dll,{app}/System.Console.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Core.dll,publish/win-x64/System.Core.dll,{app}/System.Core.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
