arquivo,linha,método,campo,tabela,tipo,classificação,ação necessária,status
PrimoAutoEletrica\Repositories\ClienteRepository.cs,1184,AtualizarResumoCliente,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\ClienteRepository.cs,1197,SUM,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\ClienteRepository.cs,1215,SUM,N/A,N/A,ReadDecimal,D,Verificar contexto de chamada,FALSE_POSITIVE
PrimoAutoEletrica\Repositories\ClienteRepository.cs,1288,ReadDecimal,N/A,N/A,ReadDecimal,A,Atualizar helper para delegar a MoneyIO / CentsV1,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\ClienteRepository.cs,1290,ReadDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Repositories\FornecedorRepository.cs,565,MaterializarFornecedor,PedidoMinimo,Fornecedores,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Fornecedores.PedidoMinimo),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\FornecedorRepository.cs,573,MaterializarFornecedor,TotalCompras,Fornecedores,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Fornecedores.TotalCompras),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\FornecedorRepository.cs,762,ReadDecimal,N/A,N/A,ReadDecimal,A,Atualizar helper para delegar a MoneyIO / CentsV1,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\FornecedorRepository.cs,764,ReadDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Repositories\FuncionarioRepository.cs,483,MaterializarFuncionario,Salario,Funcionarios,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Funcionarios.Salario),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\FuncionarioRepository.cs,515,ReadDecimal,N/A,N/A,ReadDecimal,A,Atualizar helper para delegar a MoneyIO / CentsV1,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\FuncionarioRepository.cs,517,ReadDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,571,GerarProximoNumero,Total,Orcamentos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,574,GerarProximoNumero,Total,Orcamentos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1023,AtualizarResumoCliente,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1032,AtualizarResumoCliente,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1045,SUM,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1063,SUM,N/A,N/A,ReadDecimal,D,Verificar contexto de chamada,FALSE_POSITIVE
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1197,MapOrdemServico,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1198,MapOrdemServico,Desconto,OrcamentoItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (OrcamentoItens.Desconto),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1242,ObterItensDaOrdem,Quantidade,ImportacoesItens,ReadDecimal,C,Preservar leitura numerica padrao (ImportacoesItens.Quantidade),PROTECTED_NON_MONETARY
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1243,ObterItensDaOrdem,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1244,ObterItensDaOrdem,CustoUnitario,OrdemServicoItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (OrdemServicoItens.CustoUnitario),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1372,COALESCE,N/A,N/A,SUM_SQL,C,Preservar agregacao nao monetaria,NON_MONETARY_AGGREGATE
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1380,COALESCE,N/A,N/A,SUM_SQL,C,Preservar agregacao nao monetaria,NON_MONETARY_AGGREGATE
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1405,COALESCE,N/A,N/A,ReadDecimal,D,Verificar contexto de chamada,FALSE_POSITIVE
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1426,COALESCE,N/A,N/A,SUM_SQL,C,Preservar agregacao nao monetaria,NON_MONETARY_AGGREGATE
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1449,COALESCE,N/A,N/A,ReadDecimal,D,Verificar contexto de chamada,FALSE_POSITIVE
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1578,ReadDecimal,N/A,N/A,ReadDecimal,A,Atualizar helper para delegar a MoneyIO / CentsV1,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\OrdemServicoRepository.cs,1585,ReadDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,459,BaixarProdutosDoEstoquePorAgendamento,N/A,N/A,SUM_SQL,C,Preservar agregacao nao monetaria,NON_MONETARY_AGGREGATE
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,484,COALESCE,N/A,N/A,SUM_SQL,C,Preservar agregacao nao monetaria,NON_MONETARY_AGGREGATE
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,491,COALESCE,N/A,N/A,SUM_SQL,C,Preservar agregacao nao monetaria,NON_MONETARY_AGGREGATE
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,513,COALESCE,N/A,N/A,ReadDecimal,D,Verificar contexto de chamada,FALSE_POSITIVE
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,541,MaterializarProduto,PrecoCompra,Produtos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Produtos.PrecoCompra),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,542,MaterializarProduto,PrecoVenda,Produtos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Produtos.PrecoVenda),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,543,MaterializarProduto,MargemLucro,OrcamentoItens,ReadDecimal,C,Preservar leitura numerica padrao (OrcamentoItens.MargemLucro),PROTECTED_NON_MONETARY
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,544,MaterializarProduto,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,568,MaterializarProduto,Total,Orcamentos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Orcamentos.Total),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,825,ReadDecimal,N/A,N/A,ReadDecimal,A,Atualizar helper para delegar a MoneyIO / CentsV1,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\ProdutoRepository.cs,827,ReadDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Repositories\VendaRepository.cs,70,InserirVenda,N/A,N/A,SUM_SQL,C,Preservar agregacao nao monetaria,NON_MONETARY_AGGREGATE
PrimoAutoEletrica\Repositories\VendaRepository.cs,174,ObterItensDaVenda,PrecoCompra,Produtos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Produtos.PrecoCompra),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,178,ObterItensDaVenda,PrecoUnitario,AgendamentoProdutos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoProdutos.PrecoUnitario),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,179,ObterItensDaVenda,CustoUnitario,OrdemServicoItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (OrdemServicoItens.CustoUnitario),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,180,ObterItensDaVenda,Desconto,OrcamentoItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (OrcamentoItens.Desconto),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,221,ObterItensDaVenda,PrecoCompra,Produtos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Produtos.PrecoCompra),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,225,ObterItensDaVenda,PrecoUnitario,AgendamentoProdutos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoProdutos.PrecoUnitario),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,226,ObterItensDaVenda,CustoUnitario,OrdemServicoItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (OrdemServicoItens.CustoUnitario),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,227,ObterItensDaVenda,Desconto,OrcamentoItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (OrcamentoItens.Desconto),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,278,ObterVendaInterna,Total,Orcamentos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Orcamentos.Total),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,280,ObterVendaInterna,Desconto,OrcamentoItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (OrcamentoItens.Desconto),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,330,ObterVendaInterna,Total,Orcamentos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Orcamentos.Total),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,332,ObterVendaInterna,Desconto,OrcamentoItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (OrcamentoItens.Desconto),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,389,ObterVendas,Total,Orcamentos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Orcamentos.Total),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,391,ObterVendas,Desconto,OrcamentoItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (OrcamentoItens.Desconto),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,483,TOP,Total,Orcamentos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Orcamentos.Total),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,485,TOP,Desconto,OrcamentoItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (OrcamentoItens.Desconto),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,530,ReadDecimal,N/A,N/A,ReadDecimal,A,Atualizar helper para delegar a MoneyIO / CentsV1,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\VendaRepository.cs,532,ReadDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,642,ObterProdutosDoAgendamento,PrecoUnitario,AgendamentoProdutos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoProdutos.PrecoUnitario),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,643,ObterProdutosDoAgendamento,PrecoTotal,AgendamentoProdutos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoProdutos.PrecoTotal),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,683,ObterServicosDoAgendamento,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,1388,LerAgendamento,ClienteTotalGasto,Agendamentos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Agendamentos.ClienteTotalGasto),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,1408,LerAgendamento,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,1409,LerAgendamento,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,1410,LerAgendamento,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,1420,LerAgendamento,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,1421,LerAgendamento,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,1444,ReadDecimal,N/A,N/A,ReadDecimal,A,Atualizar helper para delegar a MoneyIO / CentsV1,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs,1446,ReadDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Services\AgendamentoReportService.cs,34,GerarRelatorioDiario,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,35,GerarRelatorioDiario,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,53,GerarRelatorioSemanal,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,54,GerarRelatorioSemanal,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,74,GerarRelatorioMensal,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,75,GerarRelatorioMensal,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,94,GerarRelatorioPorTecnico,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,95,GerarRelatorioPorTecnico,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,114,GerarRelatorioPorCliente,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,115,GerarRelatorioPorCliente,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,134,GerarRelatorioPorStatus,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,135,GerarRelatorioPorStatus,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,151,GerarRelatorioProdutividade,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,168,GerarRelatorioProdutividade,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AgendamentoReportService.cs,169,GerarRelatorioProdutividade,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AuditTrailService.cs,207,ObterEstatisticasAsync,Total,Orcamentos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\AutoEletricaTecnicaService.cs,548,CriarResumo,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,723,MapearSessao,Valor,AgendamentoServicos,LerDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,724,MapearSessao,Valor,AgendamentoServicos,LerDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,725,MapearSessao,Valor,AgendamentoServicos,LerDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,726,MapearSessao,TotalVendas,CaixaSessoes,LerDecimal,A,Converter para MoneyIO.LerMoeda (CaixaSessoes.TotalVendas),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,727,MapearSessao,TotalSangrias,CaixaSessoes,LerDecimal,A,Converter para MoneyIO.LerMoeda (CaixaSessoes.TotalSangrias),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,728,MapearSessao,TotalSuprimentos,CaixaSessoes,LerDecimal,A,Converter para MoneyIO.LerMoeda (CaixaSessoes.TotalSuprimentos),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,745,MapearMovimentacao,Valor,AgendamentoServicos,LerDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,746,MapearMovimentacao,Valor,AgendamentoServicos,LerDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,747,MapearMovimentacao,Valor,AgendamentoServicos,LerDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,748,MapearMovimentacao,Sangrias,MovimentacoesCaixa,LerDecimal,A,Converter para MoneyIO.LerMoeda (MovimentacoesCaixa.Sangrias),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,749,MapearMovimentacao,Suprimentos,MovimentacoesCaixa,LerDecimal,A,Converter para MoneyIO.LerMoeda (MovimentacoesCaixa.Suprimentos),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,750,MapearMovimentacao,Diferenca,MovimentacoesCaixa,LerDecimal,A,Converter para MoneyIO.LerMoeda (MovimentacoesCaixa.Diferenca),REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,772,LerDecimal,N/A,N/A,LerDecimal,A,Atualizar helper para delegar a MoneyIO / CentsV1,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\CaixaService.cs,783,LerDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Services\CaixaService.cs,784,LerDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Services\CaixaService.cs,787,LerDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Services\ComissaoSettlementService.cs,46,Calcular,Total,Orcamentos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\ComissaoSettlementService.cs,47,Calcular,N/A,N/A,SUM_SQL,C,Preservar agregacao nao monetaria,NON_MONETARY_AGGREGATE
PrimoAutoEletrica\Services\ComissaoSettlementService.cs,49,Calcular,Total,Orcamentos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\DatabaseService.Clientes.cs,86,ObterTodosClientes,TotalGasto,Clientes,GetDouble,A,Substituir conversao direta por MoneyIO,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\DatabaseService.Clientes.cs,86,ObterTodosClientes,TotalGasto,Clientes,Convert.ToDecimal,A,Substituir conversao direta por MoneyIO,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\DatabaseService.Clientes.cs,181,ObterClientePorId,TotalGasto,Clientes,GetDouble,A,Substituir conversao direta por MoneyIO,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\DatabaseService.Clientes.cs,181,ObterClientePorId,TotalGasto,Clientes,Convert.ToDecimal,A,Substituir conversao direta por MoneyIO,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\DatabaseService.cs,890,lower,Salario,Funcionarios,Convert.ToDecimal,A,Substituir conversao direta por MoneyIO,REQUIRES_CONVERSION
PrimoAutoEletrica\Services\DatabaseService.OrdensServico.cs,1104,ExcluirOrdemServico,Quantidade,ImportacoesItens,ReadDecimal,C,Preservar leitura numerica padrao (ImportacoesItens.Quantidade),PROTECTED_NON_MONETARY
