Table,Column,RowIndex,LegacyReal,ExpectedCents,ShadowCents,RoundtripDecimal,Difference,Status
MovimentacoesFinanceiras,Valor,150,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,151,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,152,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,153,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,154,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,155,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,156,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,157,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,158,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,159,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,160,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,161,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,162,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,163,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,164,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,165,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,166,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,167,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,168,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,169,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,170,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,171,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,172,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,173,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,174,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,175,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,176,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,177,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,178,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,179,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,180,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,181,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,182,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,183,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,184,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,185,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,186,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,187,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,188,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,189,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,190,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,191,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,192,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,193,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,194,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,195,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,196,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,197,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,198,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,199,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,200,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,201,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,202,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,203,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,204,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,205,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,206,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,207,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,208,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,209,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,210,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,211,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,212,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,213,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,214,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,215,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,216,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,217,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,218,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,219,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,220,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,221,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,222,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,223,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,224,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,225,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,226,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,227,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,228,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,229,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,230,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,231,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,232,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,233,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,234,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,235,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,236,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,237,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,238,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,239,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,240,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,241,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,242,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,243,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,244,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,245,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,246,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,247,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,248,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,249,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,250,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,251,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,252,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,253,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,254,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,255,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,256,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,257,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,258,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,259,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,260,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,261,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,262,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,263,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,264,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,265,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,266,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,267,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,268,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,269,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,270,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,271,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,272,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,273,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,274,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,275,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,276,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,277,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,278,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,279,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,280,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,281,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,282,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,283,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,284,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,285,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,286,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,287,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,288,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,289,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,290,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,291,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,292,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,293,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,294,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,295,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,296,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,297,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,298,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,299,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,300,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,301,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,302,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,303,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,304,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,305,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,306,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,307,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,308,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,309,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,310,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,311,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,312,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,313,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,314,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,315,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,316,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,317,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,318,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,319,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,320,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,321,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,322,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,323,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,324,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,325,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,326,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,327,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,328,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,329,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,330,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,331,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,332,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,333,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,334,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,335,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,336,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,337,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,338,50,5000,5000,50,0.00,PASS
