Tabela,Coluna,TipoAntes,TipoDepois,Transformacao,PermiteNull,PermiteNegativo,Arredondamento,ValoresExistentes,Validacao,EstrategiaRollback
CaixaSessoes,TotalSuprimentos,REAL,INTEGER,"CAST(ROUND(TotalSuprimentos * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(TotalSuprimentos)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
MovimentacoesCaixa,ValorMovimento,REAL,INTEGER,"CAST(ROUND(ValorMovimento * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(ValorMovimento)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
MovimentacoesCaixa,ValorInicial,REAL,INTEGER,"CAST(ROUND(ValorInicial * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(ValorInicial)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
MovimentacoesCaixa,ValorFinal,REAL,INTEGER,"CAST(ROUND(ValorFinal * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(ValorFinal)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
MovimentacoesCaixa,Sangrias,REAL,INTEGER,"CAST(ROUND(Sangrias * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(Sangrias)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
MovimentacoesCaixa,Suprimentos,REAL,INTEGER,"CAST(ROUND(Suprimentos * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(Suprimentos)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
MovimentacoesCaixa,Diferenca,REAL,INTEGER,"CAST(ROUND(Diferenca * 100) AS INTEGER)",NAO,SIM,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(Diferenca)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
OrdensServico,ValorMaoObra,REAL,INTEGER,"CAST(ROUND(ValorMaoObra * 100) AS INTEGER)",NAO,NAO,AwayFromZero,9 registros (0 a 220),"COUNT=9 AND SUM=94000 cents (R$ 940,00)",Restaurar de backup pre-migration ou snapshot tabela
OrdensServico,Desconto,REAL,INTEGER,"CAST(ROUND(Desconto * 100) AS INTEGER)",NAO,NAO,AwayFromZero,9 registros (todos 0),"COUNT=9 AND SUM=0 cents",Restaurar de backup pre-migration ou snapshot tabela
OrdemServicoItens,Quantidade,REAL,REAL,Manter REAL (ou INTEGER se estritamente discreto),NAO,NAO,N/A,16 registros (1 a 4),"COUNT=16 AND SUM=21",Restaurar de backup pre-migration ou snapshot tabela
OrdemServicoItens,ValorUnitario,REAL,INTEGER,"CAST(ROUND(ValorUnitario * 100) AS INTEGER)",NAO,NAO,AwayFromZero,16 registros (1.20 a 150.00),"COUNT=16 AND SUM=63920 cents (R$ 639,20)",Restaurar de backup pre-migration ou snapshot tabela
OrdemServicoItens,CustoUnitario,REAL,INTEGER,"CAST(ROUND(CustoUnitario * 100) AS INTEGER)",NAO,NAO,AwayFromZero,16 registros (0 a 17.98),"COUNT=16 AND SUM=3078 cents (R$ 30,78)",Restaurar de backup pre-migration ou snapshot tabela
Orcamentos,Subtotal,REAL,INTEGER,"CAST(ROUND(Subtotal * 100) AS INTEGER)",SIM,NAO,AwayFromZero,20 registros (80 a 480),"COUNT=20 AND SUM=427000 cents (R$ 4.270,00)",Restaurar de backup pre-migration ou snapshot tabela
Orcamentos,Desconto,REAL,INTEGER,"CAST(ROUND(COALESCE(Desconto,0) * 100) AS INTEGER)",SIM,NAO,AwayFromZero,20 registros (todos 0),"COUNT=20 AND SUM=0 cents",Restaurar de backup pre-migration ou snapshot tabela
Orcamentos,DescontoPercentual,REAL,INTEGER,"CAST(ROUND(DescontoPercentual * 100) AS INTEGER)",NAO,NAO,AwayFromZero,20 registros (todos 0),"COUNT=20 AND SUM=0 centesimo %",Restaurar de backup pre-migration ou snapshot tabela
Orcamentos,Acrescimo,REAL,INTEGER,"CAST(ROUND(COALESCE(Acrescimo,0) * 100) AS INTEGER)",SIM,NAO,AwayFromZero,20 registros (todos 0),"COUNT=20 AND SUM=0 cents",Restaurar de backup pre-migration ou snapshot tabela
Orcamentos,Total,REAL,INTEGER,"CAST(ROUND(Total * 100) AS INTEGER)",SIM,NAO,AwayFromZero,20 registros (80 a 480),"COUNT=20 AND SUM=427000 cents (R$ 4.270,00)",Restaurar de backup pre-migration ou snapshot tabela
Orcamentos,MargemLucro,REAL,INTEGER,"CAST(ROUND(MargemLucro * 100) AS INTEGER)",SIM,SIM,AwayFromZero,20 registros (todos 100.00),"COUNT=20 AND SUM=200000 centesimo %",Restaurar de backup pre-migration ou snapshot tabela
Orcamentos,LucroEstimado,REAL,INTEGER,"CAST(ROUND(LucroEstimado * 100) AS INTEGER)",SIM,SIM,AwayFromZero,20 registros (80 a 480),"COUNT=20 AND SUM=427000 cents (R$ 4.270,00)",Restaurar de backup pre-migration ou snapshot tabela
Orcamentos,ComissaoVendedor,REAL,INTEGER,"CAST(ROUND(COALESCE(ComissaoVendedor,0) * 100) AS INTEGER)",SIM,NAO,AwayFromZero,20 registros (0 a 6.00),"COUNT=20 AND SUM=1500 cents (R$ 15,00)",Restaurar de backup pre-migration ou snapshot tabela
Orcamentos,ImpostosEstimados,REAL,INTEGER,"CAST(ROUND(COALESCE(ImpostosEstimados,0) * 100) AS INTEGER)",SIM,NAO,AwayFromZero,20 registros (0 a 21.60),"COUNT=20 AND SUM=5400 cents (R$ 54,00)",Restaurar de backup pre-migration ou snapshot tabela
OrcamentoItens,PrecoUnitario,REAL,INTEGER,"CAST(ROUND(PrecoUnitario * 100) AS INTEGER)",SIM,NAO,AwayFromZero,39 registros (0 a 480),"COUNT=39 AND SUM=427000 cents (R$ 4.270,00)",Restaurar de backup pre-migration ou snapshot tabela
OrcamentoItens,PrecoCusto,REAL,INTEGER,"CAST(ROUND(COALESCE(PrecoCusto,0) * 100) AS INTEGER)",SIM,NAO,AwayFromZero,39 registros (todos 0),"COUNT=39 AND SUM=0 cents",Restaurar de backup pre-migration ou snapshot tabela
OrcamentoItens,Desconto,REAL,INTEGER,"CAST(ROUND(COALESCE(Desconto,0) * 100) AS INTEGER)",SIM,NAO,AwayFromZero,39 registros (todos 0),"COUNT=39 AND SUM=0 cents",Restaurar de backup pre-migration ou snapshot tabela
OrcamentoItens,Subtotal,REAL,INTEGER,"CAST(ROUND(Subtotal * 100) AS INTEGER)",SIM,NAO,AwayFromZero,39 registros (0 a 960),"COUNT=39 AND SUM=519000 cents (R$ 5.190,00)",Restaurar de backup pre-migration ou snapshot tabela
OrcamentoItens,LucroEstimado,REAL,INTEGER,"CAST(ROUND(COALESCE(LucroEstimado,0) * 100) AS INTEGER)",SIM,SIM,AwayFromZero,39 registros (0 a 960),"COUNT=39 AND SUM=519000 cents (R$ 5.190,00)",Restaurar de backup pre-migration ou snapshot tabela
OrcamentoItens,MargemLucro,REAL,INTEGER,"CAST(ROUND(COALESCE(MargemLucro,0) * 100) AS INTEGER)",SIM,SIM,AwayFromZero,39 registros (0 a 100),"COUNT=39 AND SUM=350000 centesimo %",Restaurar de backup pre-migration ou snapshot tabela
