Table,Column,RowIndex,OldReal,ExpectedCents,NewCents,RoundtripDecimal,Difference,Status
Produtos,PrecoVenda,13,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoVenda,14,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoVenda,15,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoVenda,16,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoVenda,17,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoVenda,18,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoVenda,19,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,20,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,21,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,22,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,23,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,24,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,25,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,26,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,27,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,28,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,29,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,30,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,31,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,32,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,33,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,34,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,35,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,36,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,37,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,38,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,39,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,40,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,41,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,42,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,43,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,44,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,45,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,46,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,47,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,48,49.9,4990,4990,49.9,0.00,PASS
Produtos,PrecoVenda,49,49.9,4990,4990,49.9,0.00,PASS
Produtos,ValorTotalEstoque,0,135.0,13500,13500,135,0.00,PASS
Produtos,ValorTotalEstoque,1,165.0,16500,16500,165,0.00,PASS
Produtos,ValorTotalEstoque,2,165.0,16500,16500,165,0.00,PASS
Produtos,ValorTotalEstoque,3,165.0,16500,16500,165,0.00,PASS
Produtos,ValorTotalEstoque,4,165.0,16500,16500,165,0.00,PASS
Produtos,ValorTotalEstoque,5,165.0,16500,16500,165,0.00,PASS
Produtos,ValorTotalEstoque,6,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,7,17.98,1798,1798,17.98,0.00,PASS
Produtos,ValorTotalEstoque,8,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,9,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,10,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,11,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,12,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,13,190.0,19000,19000,190,0.00,PASS
Produtos,ValorTotalEstoque,14,200.0,20000,20000,200,0.00,PASS
Produtos,ValorTotalEstoque,15,200.0,20000,20000,200,0.00,PASS
Produtos,ValorTotalEstoque,16,200.0,20000,20000,200,0.00,PASS
Produtos,ValorTotalEstoque,17,200.0,20000,20000,200,0.00,PASS
Produtos,ValorTotalEstoque,18,200.0,20000,20000,200,0.00,PASS
Produtos,ValorTotalEstoque,19,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,20,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,21,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,22,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,23,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,24,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,25,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,26,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,27,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,28,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,29,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,30,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,31,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,32,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,33,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,34,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,35,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,36,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,37,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,38,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,39,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,40,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,41,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,42,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,43,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,44,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,45,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,46,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,47,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,48,0.0,0,0,0,0.00,PASS
Produtos,ValorTotalEstoque,49,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,0,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,1,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,2,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,3,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,4,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,5,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,6,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,7,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,8,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,9,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,10,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,11,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,12,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,13,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,14,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,15,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,16,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,17,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,18,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,19,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,20,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,21,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,22,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,23,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,24,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,25,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,26,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,27,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,28,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,29,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,30,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,31,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,32,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,33,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,34,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,35,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,36,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,37,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,38,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,39,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,40,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,41,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,42,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,43,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,44,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,45,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,46,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,47,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,48,0.0,0,0,0,0.00,PASS
Produtos,TotalFaturado,49,0.0,0,0,0,0.00,PASS
OrdemServicoItens,ValorUnitario,0,57.0,5700,5700,57,0.00,PASS
OrdemServicoItens,ValorUnitario,1,48.3,4830,4830,48.3,0.00,PASS
OrdemServicoItens,ValorUnitario,2,150.0,15000,15000,150,0.00,PASS
OrdemServicoItens,ValorUnitario,3,70.0,7000,7000,70,0.00,PASS
OrdemServicoItens,ValorUnitario,4,11.9,1190,1190,11.9,0.00,PASS
OrdemServicoItens,ValorUnitario,5,1.5,150,150,1.5,0.00,PASS
OrdemServicoItens,ValorUnitario,6,1.2,120,120,1.2,0.00,PASS
OrdemServicoItens,ValorUnitario,7,12.0,1200,1200,12,0.00,PASS
OrdemServicoItens,ValorUnitario,8,10.7,1070,1070,10.7,0.00,PASS
OrdemServicoItens,ValorUnitario,9,100.0,10000,10000,100,0.00,PASS
OrdemServicoItens,ValorUnitario,10,150.0,15000,15000,150,0.00,PASS
OrdemServicoItens,ValorUnitario,11,150.0,15000,15000,150,0.00,PASS
OrdemServicoItens,ValorUnitario,12,120.0,12000,12000,120,0.00,PASS
OrdemServicoItens,ValorUnitario,13,80.0,8000,8000,80,0.00,PASS
OrdemServicoItens,ValorUnitario,14,120.0,12000,12000,120,0.00,PASS
OrdemServicoItens,ValorUnitario,15,120.0,12000,12000,120,0.00,PASS
OrdemServicoItens,ValorUnitario,16,690.0,69000,69000,690,0.00,PASS
OrdemServicoItens,ValorUnitario,17,135.0,13500,13500,135,0.00,PASS
OrdemServicoItens,ValorUnitario,18,730.0,73000,73000,730,0.00,PASS
OrdemServicoItens,ValorUnitario,19,150.0,15000,15000,150,0.00,PASS
OrdemServicoItens,ValorUnitario,20,770.0,77000,77000,770,0.00,PASS
OrdemServicoItens,ValorUnitario,21,165.0,16500,16500,165,0.00,PASS
OrdemServicoItens,ValorUnitario,22,810.0,81000,81000,810,0.00,PASS
OrdemServicoItens,ValorUnitario,23,180.0,18000,18000,180,0.00,PASS
OrdemServicoItens,ValorUnitario,24,850.0,85000,85000,850,0.00,PASS
OrdemServicoItens,ValorUnitario,25,195.0,19500,19500,195,0.00,PASS
OrdemServicoItens,ValorUnitario,26,890.0,89000,89000,890,0.00,PASS
OrdemServicoItens,ValorUnitario,27,210.0,21000,21000,210,0.00,PASS
OrdemServicoItens,ValorUnitario,28,930.0,93000,93000,930,0.00,PASS
OrdemServicoItens,ValorUnitario,29,225.0,22500,22500,225,0.00,PASS
OrdemServicoItens,ValorUnitario,30,970.0,97000,97000,970,0.00,PASS
OrdemServicoItens,ValorUnitario,31,240.0,24000,24000,240,0.00,PASS
OrdemServicoItens,ValorUnitario,32,1010.0,101000,101000,1010,0.00,PASS
OrdemServicoItens,ValorUnitario,33,255.0,25500,25500,255,0.00,PASS
OrdemServicoItens,ValorUnitario,34,1050.0,105000,105000,1050,0.00,PASS
OrdemServicoItens,ValorUnitario,35,270.0,27000,27000,270,0.00,PASS
OrdemServicoItens,ValorUnitario,36,450.0,45000,45000,450,0.00,PASS
OrdemServicoItens,ValorUnitario,37,285.0,28500,28500,285,0.00,PASS
OrdemServicoItens,ValorUnitario,38,480.0,48000,48000,480,0.00,PASS
OrdemServicoItens,ValorUnitario,39,300.0,30000,30000,300,0.00,PASS
OrdemServicoItens,ValorUnitario,40,510.0,51000,51000,510,0.00,PASS
OrdemServicoItens,ValorUnitario,41,315.0,31500,31500,315,0.00,PASS
OrdemServicoItens,ValorUnitario,42,540.0,54000,54000,540,0.00,PASS
OrdemServicoItens,ValorUnitario,43,330.0,33000,33000,330,0.00,PASS
OrdemServicoItens,ValorUnitario,44,570.0,57000,57000,570,0.00,PASS
OrdemServicoItens,ValorUnitario,45,345.0,34500,34500,345,0.00,PASS
OrdemServicoItens,ValorUnitario,46,600.0,60000,60000,600,0.00,PASS
OrdemServicoItens,ValorUnitario,47,360.0,36000,36000,360,0.00,PASS
OrdemServicoItens,ValorUnitario,48,630.0,63000,63000,630,0.00,PASS
OrdemServicoItens,ValorUnitario,49,375.0,37500,37500,375,0.00,PASS
OrdemServicoItens,CustoUnitario,0,15.0,1500,1500,15,0.00,PASS
OrdemServicoItens,CustoUnitario,1,17.98,1798,1798,17.98,0.00,PASS
OrdemServicoItens,CustoUnitario,2,0.0,0,0,0,0.00,PASS
OrdemServicoItens,CustoUnitario,3,0.0,0,0,0,0.00,PASS
OrdemServicoItens,CustoUnitario,4,0.0,0,0,0,0.00,PASS
OrdemServicoItens,CustoUnitario,5,0.0,0,0,0,0.00,PASS
OrdemServicoItens,CustoUnitario,6,0.0,0,0,0,0.00,PASS
OrdemServicoItens,CustoUnitario,7,0.0,0,0,0,0.00,PASS
