STAGE,TABLE,MONEY_COLUMNS,ROWS,BEFORE_SUM,AFTER_SUM,DIVERGENCES,FK_ERRORS,INDEX_ERRORS,READ_TEST,WRITE_TEST,ROLLBACK_TEST,STATUS
STAGE 7 - Operacionais / Periféricas,ServicosPadrao,ValorSugerido,0,ValorSugerido: R$ 0.00,ValorSugerido: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,Fornecedores,"PedidoMinimo, TotalCompras",0,PedidoMinimo: R$ 0.00; TotalCompras: R$ 0.00,PedidoMinimo: R$ 0.00; TotalCompras: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,ProdutoFornecedores,"PrecoUltimaCompra, ValorCompras",0,PrecoUltimaCompra: R$ 0.00; ValorCompras: R$ 0.00,PrecoUltimaCompra: R$ 0.00; ValorCompras: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,Metas,"MetaValor, ValorAtual",0,MetaValor: R$ 0.00; ValorAtual: R$ 0.00,MetaValor: R$ 0.00; ValorAtual: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,MetasFinanceiras,"ValorMeta, ValorAtual",0,ValorMeta: R$ 0.00; ValorAtual: R$ 0.00,ValorMeta: R$ 0.00; ValorAtual: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,Agendamentos,"ClienteTotalGasto, ValorEstimado, ValorReal, ValorPago, ValorProdutos, ValorServicos",0,ClienteTotalGasto: R$ 0.00; ValorEstimado: R$ 0.00; ValorReal: R$ 0.00; ValorPago: R$ 0.00; ValorProdutos: R$ 0.00; ValorServicos: R$ 0.00,ClienteTotalGasto: R$ 0.00; ValorEstimado: R$ 0.00; ValorReal: R$ 0.00; ValorPago: R$ 0.00; ValorProdutos: R$ 0.00; ValorServicos: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,AgendamentoServicos,Valor,0,Valor: R$ 0.00,Valor: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,AgendamentoProdutos,"PrecoUnitario, PrecoTotal",0,PrecoUnitario: R$ 0.00; PrecoTotal: R$ 0.00,PrecoUnitario: R$ 0.00; PrecoTotal: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,ImportacoesNFe,"ValorTotal, ValorProdutos",0,ValorTotal: R$ 0.00; ValorProdutos: R$ 0.00,ValorTotal: R$ 0.00; ValorProdutos: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,ImportacoesItens,"ValorUnitario, ValorTotal, PrecoVendaSugerido",0,ValorUnitario: R$ 0.00; ValorTotal: R$ 0.00; PrecoVendaSugerido: R$ 0.00,ValorUnitario: R$ 0.00; ValorTotal: R$ 0.00; PrecoVendaSugerido: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,ImportacoesNFeExclusoes,ValorTotal,0,ValorTotal: R$ 0.00,ValorTotal: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,Vendas,"Total, Desconto",0,Total: R$ 0.00; Desconto: R$ 0.00,Total: R$ 0.00; Desconto: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,VendaItens,"PrecoUnitario, CustoUnitario, Desconto, Subtotal",0,PrecoUnitario: R$ 0.00; CustoUnitario: R$ 0.00; Desconto: R$ 0.00; Subtotal: R$ 0.00,PrecoUnitario: R$ 0.00; CustoUnitario: R$ 0.00; Desconto: R$ 0.00; Subtotal: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,CaixaSessoes,"ValorAbertura, ValorEsperado, ValorInformadoFechamento, TotalVendas, TotalSangrias, TotalSuprimentos",0,ValorAbertura: R$ 0.00; ValorEsperado: R$ 0.00; ValorInformadoFechamento: R$ 0.00; TotalVendas: R$ 0.00; TotalSangrias: R$ 0.00; TotalSuprimentos: R$ 0.00,ValorAbertura: R$ 0.00; ValorEsperado: R$ 0.00; ValorInformadoFechamento: R$ 0.00; TotalVendas: R$ 0.00; TotalSangrias: R$ 0.00; TotalSuprimentos: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 7 - Operacionais / Periféricas,MovimentacoesCaixa,"ValorMovimento, ValorInicial, ValorFinal, Sangrias, Suprimentos, Diferenca",0,ValorMovimento: R$ 0.00; ValorInicial: R$ 0.00; ValorFinal: R$ 0.00; Sangrias: R$ 0.00; Suprimentos: R$ 0.00; Diferenca: R$ 0.00,ValorMovimento: R$ 0.00; ValorInicial: R$ 0.00; ValorFinal: R$ 0.00; Sangrias: R$ 0.00; Suprimentos: R$ 0.00; Diferenca: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
