Tabela,Campo,Tipo anterior,Tipo CentsV1,Repository,Service,Write path,Read path,Aggregate path,UI path,Tests,Status
CaixaSessoes,ValorEsperado,REAL,INTEGER,CaixaSessoesRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorEsperado),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
CaixaSessoes,ValorInformadoFechamento,REAL,INTEGER,CaixaSessoesRepository,CaixaService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ValorInformadoFechamento),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
CaixaSessoes,TotalVendas,REAL,INTEGER,CaixaSessoesRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(TotalVendas),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
CaixaSessoes,TotalSangrias,REAL,INTEGER,CaixaSessoesRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(TotalSangrias),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
CaixaSessoes,TotalSuprimentos,REAL,INTEGER,CaixaSessoesRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(TotalSuprimentos),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
Clientes,TotalGasto,REAL,INTEGER,ClienteRepository,DatabaseService.Clientes,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(TotalGasto),ClientesWindow.xaml,ClienteRepositoryTests,MAPPED_READY_FOR_CENTSV1
ContasPagar,Valor,REAL,INTEGER,ContasPagarRepository,FinanceiroDatabaseService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Valor),FinanceiroWindow.xaml,FinanceiroTests,MAPPED_READY_FOR_CENTSV1
ContasReceber,Valor,REAL,INTEGER,ContasReceberRepository,FinanceiroDatabaseService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Valor),FinanceiroWindow.xaml,FinanceiroTests,MAPPED_READY_FOR_CENTSV1
Fornecedores,PedidoMinimo,REAL,INTEGER,FornecedorRepository,FornecedorOperationalService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,MIN(PedidoMinimo),FornecedoresWindow.xaml,FornecedorRepositoryTests,MAPPED_READY_FOR_CENTSV1
Fornecedores,TotalCompras,REAL,INTEGER,FornecedorRepository,FornecedorOperationalService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(TotalCompras),FornecedoresWindow.xaml,FornecedorRepositoryTests,MAPPED_READY_FOR_CENTSV1
Funcionarios,Salario,REAL,INTEGER,FuncionarioRepository,DatabaseService.Funcionarios,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Salario),FuncionariosWindow.xaml,FuncionarioRepositoryTests,MAPPED_READY_FOR_CENTSV1
ImportacoesItens,ValorUnitario,REAL,INTEGER,ImportacaoRepository,FornecedorOperationalService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorTotal),NFeImportWindow.xaml,NFeImportTests,MAPPED_READY_FOR_CENTSV1
ImportacoesItens,ValorTotal,REAL,INTEGER,ImportacaoRepository,FornecedorOperationalService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorTotal),NFeImportWindow.xaml,NFeImportTests,MAPPED_READY_FOR_CENTSV1
ImportacoesItens,PrecoVendaSugerido,REAL,INTEGER,ImportacaoRepository,FornecedorOperationalService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,AVG(PrecoVendaSugerido),NFeImportWindow.xaml,NFeImportTests,MAPPED_READY_FOR_CENTSV1
ImportacoesNFe,ValorTotal,REAL,INTEGER,ImportacaoRepository,FornecedorOperationalService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorTotal),NFeImportWindow.xaml,NFeImportTests,MAPPED_READY_FOR_CENTSV1
ImportacoesNFe,ValorProdutos,REAL,INTEGER,ImportacaoRepository,FornecedorOperationalService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorProdutos),NFeImportWindow.xaml,NFeImportTests,MAPPED_READY_FOR_CENTSV1
ImportacoesNFeExclusoes,ValorTotal,REAL,INTEGER,ImportacaoRepository,FornecedorOperationalService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorTotal),NFeImportWindow.xaml,NFeImportTests,MAPPED_READY_FOR_CENTSV1
Metas,MetaValor,REAL,INTEGER,MetasRepository,RelatorioDatabaseService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(MetaValor),DashboardWindow.xaml,RelatorioTests,MAPPED_READY_FOR_CENTSV1
Metas,ValorAtual,REAL,INTEGER,MetasRepository,RelatorioDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ValorAtual),DashboardWindow.xaml,RelatorioTests,MAPPED_READY_FOR_CENTSV1
MetasFinanceiras,ValorMeta,REAL,INTEGER,MetasFinanceirasRepository,FinanceiroDatabaseService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorMeta),DashboardWindow.xaml,FinanceiroTests,MAPPED_READY_FOR_CENTSV1
MetasFinanceiras,ValorAtual,REAL,INTEGER,MetasFinanceirasRepository,FinanceiroDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ValorAtual),DashboardWindow.xaml,FinanceiroTests,MAPPED_READY_FOR_CENTSV1
MovimentacoesCaixa,ValorMovimento,REAL,INTEGER,MovimentacoesCaixaRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorMovimento),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
MovimentacoesCaixa,ValorInicial,REAL,INTEGER,MovimentacoesCaixaRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorInicial),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
MovimentacoesCaixa,ValorFinal,REAL,INTEGER,MovimentacoesCaixaRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorFinal),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
MovimentacoesCaixa,Sangrias,REAL,INTEGER,MovimentacoesCaixaRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Sangrias),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
MovimentacoesCaixa,Suprimentos,REAL,INTEGER,MovimentacoesCaixaRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Suprimentos),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
MovimentacoesCaixa,Diferenca,REAL,INTEGER,MovimentacoesCaixaRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Diferenca),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
MovimentacoesFinanceiras,Valor,REAL,INTEGER,MovimentacoesFinanceirasRepository,FinanceiroDatabaseService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Valor),FinanceiroWindow.xaml,FinanceiroTests,MAPPED_READY_FOR_CENTSV1
OrcamentoItens,PrecoUnitario,REAL,INTEGER,OrcamentoItensRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(Subtotal),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
OrcamentoItens,PrecoCusto,REAL,INTEGER,OrcamentoItensRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(PrecoCusto),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
OrcamentoItens,Desconto,REAL,INTEGER,OrcamentoItensRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(Desconto),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
OrcamentoItens,Subtotal,REAL,INTEGER,OrcamentoItensRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(Subtotal),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
OrcamentoItens,LucroEstimado,REAL,INTEGER,OrcamentoItensRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(LucroEstimado),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
Orcamentos,Subtotal,REAL,INTEGER,OrcamentosRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(Subtotal),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
Orcamentos,Desconto,REAL,INTEGER,OrcamentosRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(Desconto),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
Orcamentos,Acrescimo,REAL,INTEGER,OrcamentosRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(Acrescimo),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
Orcamentos,Total,REAL,INTEGER,OrcamentosRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(Total),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
Orcamentos,LucroEstimado,REAL,INTEGER,OrcamentosRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(LucroEstimado),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
Orcamentos,ComissaoVendedor,REAL,INTEGER,OrcamentosRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ComissaoVendedor),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
Orcamentos,ImpostosEstimados,REAL,INTEGER,OrcamentosRepository,OrcamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ImpostosEstimados),OrcamentosWindow.xaml,OrcamentoTests,MAPPED_READY_FOR_CENTSV1
OrdemServicoItens,ValorUnitario,REAL,INTEGER,OrdemServicoItensRepository,DatabaseService.OrdensServico,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorUnitario),OrdensServicoWindow.xaml,OrdemServicoRepositoryTests,MAPPED_READY_FOR_CENTSV1
OrdemServicoItens,CustoUnitario,REAL,INTEGER,OrdemServicoItensRepository,DatabaseService.OrdensServico,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(CustoUnitario),OrdensServicoWindow.xaml,OrdemServicoRepositoryTests,MAPPED_READY_FOR_CENTSV1
OrdensServico,ValorMaoObra,REAL,INTEGER,OrdensServicoRepository,DatabaseService.OrdensServico,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorMaoObra),OrdensServicoWindow.xaml,OrdemServicoRepositoryTests,MAPPED_READY_FOR_CENTSV1
OrdensServico,Desconto,REAL,INTEGER,OrdensServicoRepository,DatabaseService.OrdensServico,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Desconto),OrdensServicoWindow.xaml,OrdemServicoRepositoryTests,MAPPED_READY_FOR_CENTSV1
ProdutoFornecedores,PrecoUltimaCompra,REAL,INTEGER,ProdutoFornecedoresRepository,FornecedorOperationalService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,AVG(PrecoUltimaCompra),FornecedoresWindow.xaml,FornecedorRepositoryTests,MAPPED_READY_FOR_CENTSV1
ProdutoFornecedores,ValorCompras,REAL,INTEGER,ProdutoFornecedoresRepository,FornecedorOperationalService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorCompras),FornecedoresWindow.xaml,FornecedorRepositoryTests,MAPPED_READY_FOR_CENTSV1
Produtos,PrecoCompra,REAL,INTEGER,ProdutoRepository,DatabaseService.Produtos,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(PrecoCompra),ProdutosWindow.xaml,ProdutoRepositoryTests,MAPPED_READY_FOR_CENTSV1
Produtos,PrecoVenda,REAL,INTEGER,ProdutoRepository,DatabaseService.Produtos,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(PrecoVenda),ProdutosWindow.xaml,ProdutoRepositoryTests,MAPPED_READY_FOR_CENTSV1
Produtos,ValorTotalEstoque,REAL,INTEGER,ProdutoRepository,DatabaseService.Produtos,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorTotalEstoque),ProdutosWindow.xaml,ProdutoRepositoryTests,MAPPED_READY_FOR_CENTSV1
Produtos,TotalFaturado,REAL,INTEGER,ProdutoRepository,DatabaseService.Produtos,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(TotalFaturado),ProdutosWindow.xaml,ProdutoRepositoryTests,MAPPED_READY_FOR_CENTSV1
ServicosPadrao,ValorSugerido,REAL,INTEGER,ServicosPadraoRepository,DatabaseService.Migrations,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorSugerido),OrdensServicoWindow.xaml,OrdemServicoRepositoryTests,MAPPED_READY_FOR_CENTSV1
VendaItens,PrecoUnitario,REAL,INTEGER,VendaItensRepository,VendaRepository,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(PrecoUnitario),VendasWindow.xaml,VendaRepositoryTests,MAPPED_READY_FOR_CENTSV1
VendaItens,CustoUnitario,REAL,INTEGER,VendaItensRepository,VendaRepository,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(CustoUnitario),VendasWindow.xaml,VendaRepositoryTests,MAPPED_READY_FOR_CENTSV1
VendaItens,Desconto,REAL,INTEGER,VendaItensRepository,VendaRepository,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Desconto),VendasWindow.xaml,VendaRepositoryTests,MAPPED_READY_FOR_CENTSV1
VendaItens,Subtotal,REAL,INTEGER,VendaItensRepository,VendaRepository,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Subtotal),VendasWindow.xaml,VendaRepositoryTests,MAPPED_READY_FOR_CENTSV1
Vendas,Total,REAL,INTEGER,VendasRepository,VendaRepository,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Total),VendasWindow.xaml,VendaRepositoryTests,MAPPED_READY_FOR_CENTSV1
Vendas,Desconto,REAL,INTEGER,VendasRepository,VendaRepository,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(Desconto),VendasWindow.xaml,VendaRepositoryTests,MAPPED_READY_FOR_CENTSV1
