Tabela,Coluna,TipoSQLiteAtual,TipoCSharp,CategoriaSemantica,EMonetario,EDerivado,FonteDeVerdade,Unidade,Nullable,PersistenciaAtual,PersistenciaFuturaRecomendada,Justificativa
ImportacoesItens,ValorTotal,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
ImportacoesItens,MargemAplicada,REAL,decimal,PERCENTAGE,NAO,SIM,Fórmula de cálculo de markup/margem,%,NAO,REAL,REAL,Taxa percentual (0 a 100%). Não deve ser convertida para centavos inteiros.
ImportacoesItens,PrecoVendaSugerido,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
ImportacoesNFe,ValorTotal,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
ImportacoesNFe,ValorProdutos,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
ImportacoesNFeExclusoes,ValorTotal,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Metas,MetaValor,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Metas,ValorAtual,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Metas,PercentualAtingido,REAL,decimal,PERCENTAGE,NAO,SIM,Fórmula de cálculo de markup/margem,%,SIM,REAL,REAL,Taxa percentual (0 a 100%). Não deve ser convertida para centavos inteiros.
MetasFinanceiras,ValorMeta,DECIMAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,DECIMAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
MetasFinanceiras,ValorAtual,DECIMAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,DECIMAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
MovimentacoesCaixa,ValorMovimento,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
MovimentacoesCaixa,ValorInicial,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
MovimentacoesCaixa,ValorFinal,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
MovimentacoesCaixa,Sangrias,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
MovimentacoesCaixa,Suprimentos,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
MovimentacoesCaixa,Diferenca,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
MovimentacoesFinanceiras,Valor,DECIMAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,DECIMAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
OrcamentoItens,PrecoUnitario,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
OrcamentoItens,PrecoCusto,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
OrcamentoItens,Desconto,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
OrcamentoItens,Subtotal,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
OrcamentoItens,LucroEstimado,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
OrcamentoItens,MargemLucro,REAL,decimal,PERCENTAGE,NAO,SIM,Fórmula de cálculo de markup/margem,%,SIM,REAL,REAL,Taxa percentual (0 a 100%). Não deve ser convertida para centavos inteiros.
Orcamentos,Subtotal,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Orcamentos,Desconto,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Orcamentos,DescontoPercentual,REAL,decimal,PERCENTAGE,NAO,NAO,Informada pelo operador,%,NAO,REAL,REAL,Taxa percentual (0 a 100%). Não deve ser convertida para centavos inteiros.
Orcamentos,Acrescimo,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Orcamentos,Total,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Orcamentos,MargemLucro,REAL,decimal,PERCENTAGE,NAO,SIM,Fórmula de cálculo de markup/margem,%,SIM,REAL,REAL,Taxa percentual (0 a 100%). Não deve ser convertida para centavos inteiros.
Orcamentos,LucroEstimado,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Orcamentos,ComissaoVendedor,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Orcamentos,ImpostosEstimados,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
OrdemServicoItens,Quantidade,REAL,decimal,QUANTITY,NAO,NAO,Input do operador / XML da NF-e,Unidades / Horas,NAO,REAL,REAL,Quantidade discreta ou fracionada de peças/horas. Não é dinheiro.
OrdemServicoItens,ValorUnitario,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
OrdemServicoItens,CustoUnitario,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
OrdensServico,ValorMaoObra,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
OrdensServico,Desconto,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
ProdutoFornecedores,PrecoUltimaCompra,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
ProdutoFornecedores,QuantidadeUltimaCompra,REAL,decimal,QUANTITY,NAO,NAO,Input do operador / XML da NF-e,Unidades / Horas,NAO,REAL,REAL,Quantidade discreta ou fracionada de peças/horas. Não é dinheiro.
ProdutoFornecedores,ValorCompras,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Produtos,PrecoCompra,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Produtos,PrecoVenda,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Produtos,MargemLucro,REAL,decimal,PERCENTAGE,NAO,SIM,Fórmula de cálculo de markup/margem,%,NAO,REAL,REAL,Taxa percentual (0 a 100%). Não deve ser convertida para centavos inteiros.
Produtos,ValorTotalEstoque,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Produtos,TotalFaturado,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Relatorios,ValorTotal,REAL,decimal,TRANSIENT/REPORT,SIM,SIM,Agregação SQL,R$ (reais),SIM,REAL,INTEGER cents,Dado transitório ou snapshot histórico gerado por agregação.
ServicosPadrao,ValorSugerido,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Timeline,Valor,REAL,decimal,TRANSIENT/REPORT,SIM,SIM,Agregação SQL,R$ (reais),SIM,REAL,INTEGER cents,Dado transitório ou snapshot histórico gerado por agregação.
VendaItens,PrecoUnitario,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
VendaItens,CustoUnitario,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
VendaItens,Desconto,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
VendaItens,Subtotal,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Vendas,Total,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Vendas,Desconto,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
